sample,bin_size,PC_pair,TH,RMSE
sample_1_ref_1_2,0.1,"1,2",-1,0.7994363769949406
sample_1_ref_1_2,0.1,"1,3",-1,0.2196217263799086
sample_1_ref_1_2,0.1,"1,4",-1,0.6072059128811512
sample_1_ref_1_2,0.1,"1,5",-1,0.2650362580093469
sample_1_ref_1_2,0.1,"1,6",-1,0.4575334595013809
sample_1_ref_1_2,0.1,"2,3",-1,0.7162853328639204
sample_1_ref_1_2,0.1,"2,4",-1,0.2592598238097005
sample_1_ref_1_2,0.1,"2,5",-1,0.5897682092493536
sample_1_ref_1_2,0.1,"2,6",-1,0.2071633670759831
sample_1_ref_1_2,0.1,"3,4",-1,0.8386997295215631
sample_1_ref_1_2,0.1,"3,5",-1,0.260988305750866
sample_1_ref_1_2,0.1,"3,6",-1,0.7341096399567578
sample_1_ref_1_2,0.1,"4,5",-1,0.7645809991586309
sample_1_ref_1_2,0.1,"4,6",-1,0.2389071682269977
sample_1_ref_1_2,0.1,"5,6",-1,0.9031994596488856
sample_1_ref_1_2,0.2,"1,2",-1,0.0990199665655984
sample_1_ref_1_2,0.2,"1,3",-1,0.1602857882633661
sample_1_ref_1_2,0.2,"1,4",-1,0.1487917328562978
sample_1_ref_1_2,0.2,"1,5",-1,0.1860902401359054
sample_1_ref_1_2,0.2,"1,6",-1,0.4008767797733349
sample_1_ref_1_2,0.2,"2,3",-1,0.1767553423863013
sample_1_ref_1_2,0.2,"2,4",-1,0.2111573941505406
sample_1_ref_1_2,0.2,"2,5",-1,0.244853348026436
sample_1_ref_1_2,0.2,"2,6",-1,0.5161737527808394
sample_1_ref_1_2,0.2,"3,4",-1,0.2299941406277513
sample_1_ref_1_2,0.2,"3,5",-1,0.2012314833988201
sample_1_ref_1_2,0.2,"3,6",-1,0.6965058273747827
sample_1_ref_1_2,0.2,"4,5",-1,0.2436505368919227
sample_1_ref_1_2,0.2,"4,6",-1,0.72267876040028
sample_1_ref_1_2,0.2,"5,6",-1,0.8915647941892944
sample_1_ref_1_2,0.3,"1,2",-1,0.1185112047629728
sample_1_ref_1_2,0.3,"1,3",-1,0.1790281055533861
sample_1_ref_1_2,0.3,"1,4",-1,0.1335772469791999
sample_1_ref_1_2,0.3,"1,5",-1,0.1368051467255117
sample_1_ref_1_2,0.3,"1,6",-1,0.3625440002438631
sample_1_ref_1_2,0.3,"2,3",-1,0.2296106893522593
sample_1_ref_1_2,0.3,"2,4",-1,0.2732183562839286
sample_1_ref_1_2,0.3,"2,5",-1,0.2580335114236413
sample_1_ref_1_2,0.3,"2,6",-1,0.5093101549550475
sample_1_ref_1_2,0.3,"3,4",-1,0.2245379758044802
sample_1_ref_1_2,0.3,"3,5",-1,0.2721346779105845
sample_1_ref_1_2,0.3,"3,6",-1,0.682759246509266
sample_1_ref_1_2,0.3,"4,5",-1,0.2771341294003674
sample_1_ref_1_2,0.3,"4,6",-1,0.6956395820635163
sample_1_ref_1_2,0.3,"5,6",-1,0.8496286975097983
sample_1_ref_1_2,0.4,"1,2",-1,0.1217357187630323
sample_1_ref_1_2,0.4,"1,3",-1,0.2129849477006927
sample_1_ref_1_2,0.4,"1,4",-1,0.1377358574612503
sample_1_ref_1_2,0.4,"1,5",-1,0.2525916002688236
sample_1_ref_1_2,0.4,"1,6",-1,0.2984115378077239
sample_1_ref_1_2,0.4,"2,3",-1,0.2723970092127344
sample_1_ref_1_2,0.4,"2,4",-1,0.2680559534499105
sample_1_ref_1_2,0.4,"2,5",-1,0.2642352802944634
sample_1_ref_1_2,0.4,"2,6",-1,0.3341772891833721
sample_1_ref_1_2,0.4,"3,4",-1,0.3522512724942996
sample_1_ref_1_2,0.4,"3,5",-1,0.2570958549977087
sample_1_ref_1_2,0.4,"3,6",-1,0.4596416526609231
sample_1_ref_1_2,0.4,"4,5",-1,0.3597273077707581
sample_1_ref_1_2,0.4,"4,6",-1,0.4543743536685857
sample_1_ref_1_2,0.4,"5,6",-1,0.5644460025622006
sample_1_ref_1_2,0.5,"1,2",-1,0.1495191016960093
sample_1_ref_1_2,0.5,"1,3",-1,0.5277745529387649
sample_1_ref_1_2,0.5,"1,4",-1,0.1808281334761548
sample_1_ref_1_2,0.5,"1,5",-1,0.2211438709119375
sample_1_ref_1_2,0.5,"1,6",-1,0.3320988425075324
sample_1_ref_1_2,0.5,"2,3",-1,0.7586711943431736
sample_1_ref_1_2,0.5,"2,4",-1,0.3584838512831192
sample_1_ref_1_2,0.5,"2,5",-1,0.3209950163673153
