sample,bin_size,PC_pair,TH,RMSE
sample_3_ref_1_2,0.1,"1,2",-1,0.048401255931479245
sample_3_ref_1_2,0.1,"1,3",-1,0.057949872506512914
sample_3_ref_1_2,0.1,"1,4",-1,0.08886295617185935
sample_3_ref_1_2,0.1,"1,5",-1,0.05528497761964415
sample_3_ref_1_2,0.1,"1,6",-1,0.08648290167780046
sample_3_ref_1_2,0.1,"2,3",-1,0.20884059211160202
sample_3_ref_1_2,0.1,"2,4",-1,0.2104983471260881
sample_3_ref_1_2,0.1,"2,5",-1,0.1818356783746247
sample_3_ref_1_2,0.1,"2,6",-1,0.17214596582043828
sample_3_ref_1_2,0.1,"3,4",-1,0.22178793658779025
sample_3_ref_1_2,0.1,"3,5",-1,0.16046864348077217
sample_3_ref_1_2,0.1,"3,6",-1,0.1993298439417225
sample_3_ref_1_2,0.1,"4,5",-1,0.21896845737265908
sample_3_ref_1_2,0.1,"4,6",-1,0.28346465914958907
sample_3_ref_1_2,0.1,"5,6",-1,0.29248705409458287
sample_3_ref_1_2,0.2,"1,2",-1,0.06420771733266793
sample_3_ref_1_2,0.2,"1,3",-1,0.08208020539545523
sample_3_ref_1_2,0.2,"1,4",-1,0.09199052828432065
sample_3_ref_1_2,0.2,"1,5",-1,0.08025498274806094
sample_3_ref_1_2,0.2,"1,6",-1,0.08671774007553033
sample_3_ref_1_2,0.2,"2,3",-1,0.23722222110471763
sample_3_ref_1_2,0.2,"2,4",-1,0.18808324940749194
sample_3_ref_1_2,0.2,"2,5",-1,0.23286233770213066
sample_3_ref_1_2,0.2,"2,6",-1,0.261724812851274
sample_3_ref_1_2,0.2,"3,4",-1,0.23263264396323452
sample_3_ref_1_2,0.2,"3,5",-1,0.17871776138404438
sample_3_ref_1_2,0.2,"3,6",-1,0.22663255561444762
sample_3_ref_1_2,0.2,"4,5",-1,0.2784162238833186
sample_3_ref_1_2,0.2,"4,6",-1,0.31758581118844514
sample_3_ref_1_2,0.2,"5,6",-1,0.2730446796806159
sample_3_ref_1_2,0.3,"1,2",-1,0.07162793787498008
sample_3_ref_1_2,0.3,"1,3",-1,0.11306367201211762
sample_3_ref_1_2,0.3,"1,4",-1,0.10278263046657897
sample_3_ref_1_2,0.3,"1,5",-1,0.1541835190269571
sample_3_ref_1_2,0.3,"1,6",-1,0.14835092697612087
sample_3_ref_1_2,0.3,"2,3",-1,0.1775527761601825
sample_3_ref_1_2,0.3,"2,4",-1,0.210737269682432
sample_3_ref_1_2,0.3,"2,5",-1,0.26589713920170827
sample_3_ref_1_2,0.3,"2,6",-1,0.3160787215621356
sample_3_ref_1_2,0.3,"3,4",-1,0.26093621430131264
sample_3_ref_1_2,0.3,"3,5",-1,0.19963188332496173
sample_3_ref_1_2,0.3,"3,6",-1,0.3157511368802296
sample_3_ref_1_2,0.3,"4,5",-1,0.2952579048621188
sample_3_ref_1_2,0.3,"4,6",-1,0.3406702048501937
sample_3_ref_1_2,0.3,"5,6",-1,0.35645796807623326
sample_3_ref_1_2,0.4,"1,2",-1,0.07950128526193163
sample_3_ref_1_2,0.4,"1,3",-1,0.149083828705102
sample_3_ref_1_2,0.4,"1,4",-1,0.11828892695285975
sample_3_ref_1_2,0.4,"1,5",-1,0.12094574279082358
sample_3_ref_1_2,0.4,"1,6",-1,0.3714601365299583
sample_3_ref_1_2,0.4,"2,3",-1,0.21090151132244514
sample_3_ref_1_2,0.4,"2,4",-1,0.2905086339195363
sample_3_ref_1_2,0.4,"2,5",-1,0.4008611635484922
sample_3_ref_1_2,0.4,"2,6",-1,0.4511185719597637
sample_3_ref_1_2,0.4,"3,4",-1,0.27097497356339345
sample_3_ref_1_2,0.4,"3,5",-1,0.2965516961095316
sample_3_ref_1_2,0.4,"3,6",-1,0.6596899392594655
sample_3_ref_1_2,0.4,"4,5",-1,0.3771711491107524
sample_3_ref_1_2,0.4,"4,6",-1,0.7267918432000483
sample_3_ref_1_2,0.4,"5,6",-1,0.8243352010684187
sample_3_ref_1_2,0.5,"1,2",-1,0.10174715866569084
sample_3_ref_1_2,0.5,"1,3",-1,0.17676643645184895
sample_3_ref_1_2,0.5,"1,4",-1,0.19507532506272376
sample_3_ref_1_2,0.5,"1,5",-1,0.15239694932770387
sample_3_ref_1_2,0.5,"1,6",-1,0.407316340287248
sample_3_ref_1_2,0.5,"2,3",-1,0.21064279355580165
sample_3_ref_1_2,0.5,"2,4",-1,0.3009078380541171
sample_3_ref_1_2,0.5,"2,5",-1,0.3122228453821774
sample_3_ref_1_2,0.5,"2,6",-1,0.48248664919740275
sample_3_ref_1_2,0.5,"3,4",-1,0.37749604797636443
sample_3_ref_1_2,0.5,"3,5",-1,0.33029733966097835
sample_3_ref_1_2,0.5,"3,6",-1,0.6833755034921548
sample_3_ref_1_2,0.5,"4,5",-1,0.34288385937863136
sample_3_ref_1_2,0.5,"4,6",-1,0.7721088118062888
sample_3_ref_1_2,0.5,"5,6",-1,0.808337443594447
sample_3_ref_1_2,0.6,"1,2",-1,0.11783225104412666
sample_3_ref_1_2,0.6,"1,3",-1,0.21432796123895273
sample_3_ref_1_2,0.6,"1,4",-1,0.25346178062286084
sample_3_ref_1_2,0.6,"1,5",-1,0.24719899110578555
sample_3_ref_1_2,0.6,"1,6",-1,0.44007425635140385
sample_3_ref_1_2,0.6,"2,3",-1,0.32423354612948313
sample_3_ref_1_2,0.6,"2,4",-1,0.3256284168224238
sample_3_ref_1_2,0.6,"2,5",-1,0.35509779022447924
sample_3_ref_1_2,0.6,"2,6",-1,0.5296936752436483
sample_3_ref_1_2,0.6,"3,4",-1,0.3049701977518983
sample_3_ref_1_2,0.6,"3,5",-1,0.3459979046931865
sample_3_ref_1_2,0.6,"3,6",-1,0.6455429096347511
sample_3_ref_1_2,0.6,"4,5",-1,0.34517960624014865
sample_3_ref_1_2,0.6,"4,6",-1,0.7073901746233704
sample_3_ref_1_2,0.6,"5,6",-1,0.849279797439998
sample_3_ref_1_2,0.7,"1,2",-1,0.14774600771718027
sample_3_ref_1_2,0.7,"1,3",-1,0.3003909186952123
sample_3_ref_1_2,0.7,"1,4",-1,0.5791440422101126
sample_3_ref_1_2,0.7,"1,5",-1,0.5551652506582354
sample_3_ref_1_2,0.7,"1,6",-1,0.39480839684862007
sample_3_ref_1_2,0.7,"2,3",-1,0.12791027119032056
sample_3_ref_1_2,0.7,"2,4",-1,0.41554190133765573
sample_3_ref_1_2,0.7,"2,5",-1,0.3628238896812576
sample_3_ref_1_2,0.7,"2,6",-1,0.17386067012869222
sample_3_ref_1_2,0.7,"3,4",-1,0.7272564379733558
sample_3_ref_1_2,0.7,"3,5",-1,0.6812923702739843
sample_3_ref_1_2,0.7,"3,6",-1,0.36450456227462263
sample_3_ref_1_2,0.7,"4,5",-1,0.4369814869918448
sample_3_ref_1_2,0.7,"4,6",-1,0.6747798885755293
sample_3_ref_1_2,0.7,"5,6",-1,0.8535133336016311
sample_3_ref_1_2,0.8,"1,2",-1,0.14303686449011963
sample_3_ref_1_2,0.8,"1,3",-1,0.2661500062208776
sample_3_ref_1_2,0.8,"1,4",-1,0.5772960628057519
sample_3_ref_1_2,0.8,"1,5",-1,0.5093710388786422
sample_3_ref_1_2,0.8,"1,6",-1,0.31243805844944433
sample_3_ref_1_2,0.8,"2,3",-1,0.16532691499325555
sample_3_ref_1_2,0.8,"2,4",-1,0.5082636390014658
sample_3_ref_1_2,0.8,"2,5",-1,0.4016349078544691
sample_3_ref_1_2,0.8,"2,6",-1,0.2025686314644597
sample_3_ref_1_2,0.8,"3,4",-1,0.7529491062961006
sample_3_ref_1_2,0.8,"3,5",-1,0.6879692001647105
sample_3_ref_1_2,0.8,"3,6",-1,0.3775520032711776
sample_3_ref_1_2,0.8,"4,5",-1,0.4659791705181745
sample_3_ref_1_2,0.8,"4,6",-1,0.7591944889683484
sample_3_ref_1_2,0.8,"5,6",-1,0.8326491542315395
sample_3_ref_1_2,0.9,"1,2",-1,0.14277417645769983
sample_3_ref_1_2,0.9,"1,3",-1,0.26794224179799736
sample_3_ref_1_2,0.9,"1,4",-1,0.21813549112495176
sample_3_ref_1_2,0.9,"1,5",-1,0.49255753328731405
sample_3_ref_1_2,0.9,"1,6",-1,0.4049938715345335
sample_3_ref_1_2,0.9,"2,3",-1,0.1690528535005814
sample_3_ref_1_2,0.9,"2,4",-1,0.18986776040403158
sample_3_ref_1_2,0.9,"2,5",-1,0.3835613198533856
sample_3_ref_1_2,0.9,"2,6",-1,0.3074737717478198
sample_3_ref_1_2,0.9,"3,4",-1,0.38250530532157434
sample_3_ref_1_2,0.9,"3,5",-1,0.7358675118799136
sample_3_ref_1_2,0.9,"3,6",-1,0.5439354950298253
sample_3_ref_1_2,0.9,"4,5",-1,0.7995082025283098
sample_3_ref_1_2,0.9,"4,6",-1,0.6498225490533448
sample_3_ref_1_2,0.9,"5,6",-1,0.624727883313709
sample_3_ref_1_2,1.0,"1,2",-1,0.19913309373262125
sample_3_ref_1_2,1.0,"1,3",-1,0.2559851330299551
sample_3_ref_1_2,1.0,"1,4",-1,0.2790124830942227
sample_3_ref_1_2,1.0,"1,5",-1,0.3134510921308728
sample_3_ref_1_2,1.0,"1,6",-1,0.45040895588565466
sample_3_ref_1_2,1.0,"2,3",-1,0.15955069185814671
sample_3_ref_1_2,1.0,"2,4",-1,0.3275713594862735
sample_3_ref_1_2,1.0,"2,5",-1,0.29439208412080387
sample_3_ref_1_2,1.0,"2,6",-1,0.4245028368512332
sample_3_ref_1_2,1.0,"3,4",-1,0.4934180149711614
sample_3_ref_1_2,1.0,"3,5",-1,0.45157486811739495
sample_3_ref_1_2,1.0,"3,6",-1,0.660156281168441
sample_3_ref_1_2,1.0,"4,5",-1,0.45761917957483145
sample_3_ref_1_2,1.0,"4,6",-1,0.7756934540902489
sample_3_ref_1_2,1.0,"5,6",-1,0.8302716492301765
sample_3_ref_1_2,1.1,"1,2",-1,0.1801908251282766
sample_3_ref_1_2,1.1,"1,3",-1,0.3307681929113441
sample_3_ref_1_2,1.1,"1,4",-1,0.3411479826481149
sample_3_ref_1_2,1.1,"1,5",-1,0.3662783237998416
sample_3_ref_1_2,1.1,"1,6",-1,0.45973483044817326
sample_3_ref_1_2,1.1,"2,3",-1,0.17250851116308336
sample_3_ref_1_2,1.1,"2,4",-1,0.20217480570381274
sample_3_ref_1_2,1.1,"2,5",-1,0.22852950293795143
sample_3_ref_1_2,1.1,"2,6",-1,0.3986042651489119
sample_3_ref_1_2,1.1,"3,4",-1,0.32534178829770105
sample_3_ref_1_2,1.1,"3,5",-1,0.32498736890298374
sample_3_ref_1_2,1.1,"3,6",-1,0.5913687269281043
sample_3_ref_1_2,1.1,"4,5",-1,0.4686349114848926
sample_3_ref_1_2,1.1,"4,6",-1,0.6030390972349191
sample_3_ref_1_2,1.1,"5,6",-1,0.7546857713869882
sample_3_ref_1_2,1.2,"1,2",-1,0.21293881502288256
