sample,bin_size,PC_pair,TH,RMSE
sample_1_ref_1_2,0.1,"1,2",-1,0.0669898092675998
sample_1_ref_1_2,0.1,"1,3",-1,0.1100693299438608
sample_1_ref_1_2,0.1,"1,4",-1,0.1020427369645482
sample_1_ref_1_2,0.1,"1,5",-1,0.1053396118451582
sample_1_ref_1_2,0.1,"1,6",-1,0.1360505820541208
sample_1_ref_1_2,0.1,"2,3",-1,0.1265532607757922
sample_1_ref_1_2,0.1,"2,4",-1,0.132434344602859
sample_1_ref_1_2,0.1,"2,5",-1,0.2531665052453041
sample_1_ref_1_2,0.1,"2,6",-1,0.2171917503347397
sample_1_ref_1_2,0.1,"3,4",-1,0.1807721325493294
sample_1_ref_1_2,0.1,"3,5",-1,0.2212756943975654
sample_1_ref_1_2,0.1,"3,6",-1,0.2547810491027342
sample_1_ref_1_2,0.1,"4,5",-1,0.1711954748533442
sample_1_ref_1_2,0.1,"4,6",-1,0.1968318541817659
sample_1_ref_1_2,0.1,"5,6",-1,0.2928254092618046
sample_1_ref_1_2,0.2,"1,2",-1,0.0871266255252097
sample_1_ref_1_2,0.2,"1,3",-1,0.1699671585709517
sample_1_ref_1_2,0.2,"1,4",-1,0.5544898671043701
sample_1_ref_1_2,0.2,"1,5",-1,0.1254327606351317
sample_1_ref_1_2,0.2,"1,6",-1,0.1621402044693486
sample_1_ref_1_2,0.2,"2,3",-1,0.1496543208269411
sample_1_ref_1_2,0.2,"2,4",-1,0.5657781708290394
sample_1_ref_1_2,0.2,"2,5",-1,0.23200253058139
sample_1_ref_1_2,0.2,"2,6",-1,0.1760740684874895
sample_1_ref_1_2,0.2,"3,4",-1,0.8596418171907684
sample_1_ref_1_2,0.2,"3,5",-1,0.308685776202366
sample_1_ref_1_2,0.2,"3,6",-1,0.3774505869284389
sample_1_ref_1_2,0.2,"4,5",-1,0.9676011506049198
sample_1_ref_1_2,0.2,"4,6",-1,0.8784168209058443
sample_1_ref_1_2,0.2,"5,6",-1,0.4341365069926703
sample_1_ref_1_2,0.3,"1,2",-1,0.1247400306072818
sample_1_ref_1_2,0.3,"1,3",-1,0.1755473469213061
sample_1_ref_1_2,0.3,"1,4",-1,0.4513916422827927
sample_1_ref_1_2,0.3,"1,5",-1,0.3530183462267183
sample_1_ref_1_2,0.3,"1,6",-1,0.1959877788212467
sample_1_ref_1_2,0.3,"2,3",-1,0.137000560286367
sample_1_ref_1_2,0.3,"2,4",-1,0.3099224241945795
sample_1_ref_1_2,0.3,"2,5",-1,0.4065381180954736
sample_1_ref_1_2,0.3,"2,6",-1,0.2072065999349423
sample_1_ref_1_2,0.3,"3,4",-1,0.6341258715140718
sample_1_ref_1_2,0.3,"3,5",-1,0.6149271958137781
sample_1_ref_1_2,0.3,"3,6",-1,0.4851184143405854
sample_1_ref_1_2,0.3,"4,5",-1,0.3464145296153019
sample_1_ref_1_2,0.3,"4,6",-1,0.7738250593520842
sample_1_ref_1_2,0.3,"5,6",-1,0.7931834894712163
sample_1_ref_1_2,0.4,"1,2",-1,0.144644255387967
sample_1_ref_1_2,0.4,"1,3",-1,0.3043376536537979
sample_1_ref_1_2,0.4,"1,4",-1,0.2925372201501405
sample_1_ref_1_2,0.4,"1,5",-1,0.3269271739584473
sample_1_ref_1_2,0.4,"1,6",-1,0.3309656259110882
sample_1_ref_1_2,0.4,"2,3",-1,0.1682497878255971
sample_1_ref_1_2,0.4,"2,4",-1,0.2538674241681264
sample_1_ref_1_2,0.4,"2,5",-1,0.3361881912402794
sample_1_ref_1_2,0.4,"2,6",-1,0.228132483906845
sample_1_ref_1_2,0.4,"3,4",-1,0.3681837484613678
sample_1_ref_1_2,0.4,"3,5",-1,0.4405617776340549
sample_1_ref_1_2,0.4,"3,6",-1,0.4208308235096613
sample_1_ref_1_2,0.4,"4,5",-1,0.4352212460452965
sample_1_ref_1_2,0.4,"4,6",-1,0.5042042656225044
sample_1_ref_1_2,0.4,"5,6",-1,0.4242033455600174
sample_1_ref_1_2,0.5,"1,2",-1,0.1928972164803554
sample_1_ref_1_2,0.5,"1,3",-1,0.2669775546986053
sample_1_ref_1_2,0.5,"1,4",-1,0.5238691235225236
sample_1_ref_1_2,0.5,"1,5",-1,0.3156688067927137
sample_1_ref_1_2,0.5,"1,6",-1,0.3552264669265771
sample_1_ref_1_2,0.5,"2,3",-1,0.2281762806662991
sample_1_ref_1_2,0.5,"2,4",-1,0.6043501373648629
sample_1_ref_1_2,0.5,"2,5",-1,0.3229945722815447
sample_1_ref_1_2,0.5,"2,6",-1,0.3649044756896175
sample_1_ref_1_2,0.5,"3,4",-1,0.797139567963402
sample_1_ref_1_2,0.5,"3,5",-1,0.4085444537270912
sample_1_ref_1_2,0.5,"3,6",-1,0.5664975217296555
sample_1_ref_1_2,0.5,"4,5",-1,0.8289400071223381
sample_1_ref_1_2,0.5,"4,6",-1,0.7529325633703142
sample_1_ref_1_2,0.5,"5,6",-1,0.7123103557375081
sample_1_ref_1_2,0.6,"1,2",-1,0.2156279239257367
sample_1_ref_1_2,0.6,"1,3",-1,0.3702703955783761
sample_1_ref_1_2,0.6,"1,4",-1,0.4738224594196823
sample_1_ref_1_2,0.6,"1,5",-1,0.5201594092168401
sample_1_ref_1_2,0.6,"1,6",-1,0.485321137418629
sample_1_ref_1_2,0.6,"2,3",-1,0.249169420629018
sample_1_ref_1_2,0.6,"2,4",-1,0.5616413817279019
sample_1_ref_1_2,0.6,"2,5",-1,0.4267175330888367
sample_1_ref_1_2,0.6,"2,6",-1,0.5150617293828256
sample_1_ref_1_2,0.6,"3,4",-1,0.7664422545845044
sample_1_ref_1_2,0.6,"3,5",-1,0.7748821493242475
sample_1_ref_1_2,0.6,"3,6",-1,0.7335632700052348
sample_1_ref_1_2,0.6,"4,5",-1,0.5822507217927961
sample_1_ref_1_2,0.6,"4,6",-1,0.8967410249232618
sample_1_ref_1_2,0.6,"5,6",-1,0.7502268647538058
sample_1_ref_1_2,0.7,"1,2",-1,0.2075494304627299
sample_1_ref_1_2,0.7,"1,3",-1,0.359986537620962
sample_1_ref_1_2,0.7,"1,4",-1,0.4529700716261682
sample_1_ref_1_2,0.7,"1,5",-1,0.3428409928061846
sample_1_ref_1_2,0.7,"1,6",-1,0.3631575105288065
sample_1_ref_1_2,0.7,"2,3",-1,0.163725225010468
sample_1_ref_1_2,0.7,"2,4",-1,0.457252843178976
sample_1_ref_1_2,0.7,"2,5",-1,0.298007466223843
sample_1_ref_1_2,0.7,"2,6",-1,0.2919350154769632
sample_1_ref_1_2,0.7,"3,4",-1,0.6786777908441968
sample_1_ref_1_2,0.7,"3,5",-1,0.5013031596461642
sample_1_ref_1_2,0.7,"3,6",-1,0.5908183040717064
sample_1_ref_1_2,0.7,"4,5",-1,0.7288754945207541
sample_1_ref_1_2,0.7,"4,6",-1,0.717551515013123
sample_1_ref_1_2,0.7,"5,6",-1,0.5300847855376676
sample_1_ref_1_2,0.8,"1,2",-1,0.2743247654865603
sample_1_ref_1_2,0.8,"1,3",-1,0.4065904121280862
sample_1_ref_1_2,0.8,"1,4",-1,0.573012838435361
sample_1_ref_1_2,0.8,"1,5",-1,0.3929843484953711
sample_1_ref_1_2,0.8,"1,6",-1,0.4637526093062421
sample_1_ref_1_2,0.8,"2,3",-1,0.299198160659989
sample_1_ref_1_2,0.8,"2,4",-1,0.5351590722090982
sample_1_ref_1_2,0.8,"2,5",-1,0.4757520804296226
sample_1_ref_1_2,0.8,"2,6",-1,0.5641314295928526
sample_1_ref_1_2,0.8,"3,4",-1,0.7784269084456024
sample_1_ref_1_2,0.8,"3,5",-1,0.5258817064123618
sample_1_ref_1_2,0.8,"3,6",-1,0.7198331930442021
sample_1_ref_1_2,0.8,"4,5",-1,0.7746222379429754
sample_1_ref_1_2,0.8,"4,6",-1,0.7927048274085421
sample_1_ref_1_2,0.8,"5,6",-1,0.831648000504055
sample_1_ref_1_2,0.9,"1,2",-1,0.2324366377152685
sample_1_ref_1_2,0.9,"1,3",-1,0.4169718487049547
sample_1_ref_1_2,0.9,"1,4",-1,0.4931109561709106
sample_1_ref_1_2,0.9,"1,5",-1,0.4501268730490305
sample_1_ref_1_2,0.9,"1,6",-1,0.5744832368778643
sample_1_ref_1_2,0.9,"2,3",-1,0.224060937504421
sample_1_ref_1_2,0.9,"2,4",-1,0.3907411957561917
sample_1_ref_1_2,0.9,"2,5",-1,0.4371120857237356
sample_1_ref_1_2,0.9,"2,6",-1,0.5924447730152654
sample_1_ref_1_2,0.9,"3,4",-1,0.5174260178423941
sample_1_ref_1_2,0.9,"3,5",-1,0.6528039855255241
sample_1_ref_1_2,0.9,"3,6",-1,0.8455036650331298
sample_1_ref_1_2,0.9,"4,5",-1,0.6244419695498228
sample_1_ref_1_2,0.9,"4,6",-1,0.7837414290403731
sample_1_ref_1_2,0.9,"5,6",-1,0.9239784159856916
sample_1_ref_1_2,1.0,"1,2",-1,0.296409459933891
sample_1_ref_1_2,1.0,"1,3",-1,0.5593792871789763
sample_1_ref_1_2,1.0,"1,4",-1,0.6021884579079584
sample_1_ref_1_2,1.0,"1,5",-1,0.4772388993066115
sample_1_ref_1_2,1.0,"1,6",-1,0.4497099529144984
sample_1_ref_1_2,1.0,"2,3",-1,0.7664004537672053
sample_1_ref_1_2,1.0,"2,4",-1,0.6783315403793074
sample_1_ref_1_2,1.0,"2,5",-1,0.5756382221525391
sample_1_ref_1_2,1.0,"2,6",-1,0.4969565311119238
sample_1_ref_1_2,1.0,"3,4",-1,0.602117461441177
sample_1_ref_1_2,1.0,"3,5",-1,0.7612585267710087
sample_1_ref_1_2,1.0,"3,6",-1,0.7927054797282671
sample_1_ref_1_2,1.0,"4,5",-1,0.843854943411829
sample_1_ref_1_2,1.0,"4,6",-1,0.8849684807034547
sample_1_ref_1_2,1.0,"5,6",-1,0.7634165914851071
sample_1_ref_1_2,1.1,"1,2",-1,0.2885088768829977
sample_1_ref_1_2,1.1,"1,3",-1,0.4542146920034324
sample_1_ref_1_2,1.1,"1,4",-1,0.4753884608301627
sample_1_ref_1_2,1.1,"1,5",-1,0.5555060990701967
sample_1_ref_1_2,1.1,"1,6",-1,0.4966826591107037
sample_1_ref_1_2,1.1,"2,3",-1,0.3200673363560696
sample_1_ref_1_2,1.1,"2,4",-1,0.5217763015627155
sample_1_ref_1_2,1.1,"2,5",-1,0.4779200694465686
sample_1_ref_1_2,1.1,"2,6",-1,0.4750036415352721
sample_1_ref_1_2,1.1,"3,4",-1,0.6101371144007041
sample_1_ref_1_2,1.1,"3,5",-1,0.7003612734405452
sample_1_ref_1_2,1.1,"3,6",-1,0.626570209010312
sample_1_ref_1_2,1.1,"4,5",-1,0.7045780981212975
sample_1_ref_1_2,1.1,"4,6",-1,0.700036715149988
sample_1_ref_1_2,1.1,"5,6",-1,0.7676564280178728
sample_1_ref_1_2,1.2,"1,2",-1,0.2679908126206795
sample_1_ref_1_2,1.2,"1,3",-1,0.4578585740339317
sample_1_ref_1_2,1.2,"1,4",-1,0.5305106239051539
sample_1_ref_1_2,1.2,"1,5",-1,0.4673801088663454
sample_1_ref_1_2,1.2,"1,6",-1,0.4283529470620619
sample_1_ref_1_2,1.2,"2,3",-1,0.3392422311428005
sample_1_ref_1_2,1.2,"2,4",-1,0.5477325580396297
sample_1_ref_1_2,1.2,"2,5",-1,0.4335098377436728
sample_1_ref_1_2,1.2,"2,6",-1,0.4386730994289018
sample_1_ref_1_2,1.2,"3,4",-1,0.5785450545814051
sample_1_ref_1_2,1.2,"3,5",-1,0.676482279118751
sample_1_ref_1_2,1.2,"3,6",-1,0.6368255973852399
sample_1_ref_1_2,1.2,"4,5",-1,0.7360421656887524
sample_1_ref_1_2,1.2,"4,6",-1,0.6692877721748378
sample_1_ref_1_2,1.2,"5,6",-1,0.6483907625081974
sample_1_ref_1_2,1.3,"1,2",-1,0.3005667031353512
sample_1_ref_1_2,1.3,"1,3",-1,0.4853280561648557
sample_1_ref_1_2,1.3,"1,4",-1,0.5942671254706716
sample_1_ref_1_2,1.3,"1,5",-1,0.5219269749103286
sample_1_ref_1_2,1.3,"1,6",-1,0.4906302998906085
sample_1_ref_1_2,1.3,"2,3",-1,0.3647555079774771
sample_1_ref_1_2,1.3,"2,4",-1,0.7377149211797869
sample_1_ref_1_2,1.3,"2,5",-1,0.5498490498547426
sample_1_ref_1_2,1.3,"2,6",-1,0.5482710358586543
sample_1_ref_1_2,1.3,"3,4",-1,0.9117683331559536
sample_1_ref_1_2,1.3,"3,5",-1,0.8051845237852367
sample_1_ref_1_2,1.3,"3,6",-1,0.7480882073418661
sample_1_ref_1_2,1.3,"4,5",-1,0.7031219581826027
sample_1_ref_1_2,1.3,"4,6",-1,0.6876536271071819
sample_1_ref_1_2,1.3,"5,6",-1,0.7549409216090396
sample_1_ref_1_2,1.4,"1,2",-1,0.3002344300521263
sample_1_ref_1_2,1.4,"1,3",-1,0.4056576859593368
sample_1_ref_1_2,1.4,"1,4",-1,0.4810993148018238
sample_1_ref_1_2,1.4,"1,5",-1,0.4548704090665327
sample_1_ref_1_2,1.4,"1,6",-1,0.4615348522823243
sample_1_ref_1_2,1.4,"2,3",-1,0.3685628708148124
sample_1_ref_1_2,1.4,"2,4",-1,0.4746963142625168
sample_1_ref_1_2,1.4,"2,5",-1,0.5839206098897274
sample_1_ref_1_2,1.4,"2,6",-1,0.3931678618993163
sample_1_ref_1_2,1.4,"3,4",-1,0.7632501295571783
sample_1_ref_1_2,1.4,"3,5",-1,0.6544176158374866
sample_1_ref_1_2,1.4,"3,6",-1,0.6253012657758743
sample_1_ref_1_2,1.4,"4,5",-1,0.8020552716929181
sample_1_ref_1_2,1.4,"4,6",-1,0.7152664561769455
sample_1_ref_1_2,1.4,"5,6",-1,0.7886218798505097
sample_1_ref_1_2,1.5,"1,2",-1,0.289697285050379
sample_1_ref_1_2,1.5,"1,3",-1,0.5518076081830589
sample_1_ref_1_2,1.5,"1,4",-1,0.4448037167711759
sample_1_ref_1_2,1.5,"1,5",-1,0.5003995753775663
sample_1_ref_1_2,1.5,"1,6",-1,0.389152604887384
sample_1_ref_1_2,1.5,"2,3",-1,0.7230438152197296
sample_1_ref_1_2,1.5,"2,4",-1,0.5458627515522506
sample_1_ref_1_2,1.5,"2,5",-1,0.5839788376239868
sample_1_ref_1_2,1.5,"2,6",-1,0.4482242524610882
sample_1_ref_1_2,1.5,"3,4",-1,0.9106528052540278
sample_1_ref_1_2,1.5,"3,5",-1,0.7854663798496382
sample_1_ref_1_2,1.5,"3,6",-1,0.8372109174516316
sample_1_ref_1_2,1.5,"4,5",-1,0.750242577732619
sample_1_ref_1_2,1.5,"4,6",-1,0.6574444689650937
sample_1_ref_1_2,1.5,"5,6",-1,0.7887759073197617
sample_1_ref_1_2,1.6,"1,2",-1,0.3499720198741134
sample_1_ref_1_2,1.6,"1,3",-1,0.4805506414292618
sample_1_ref_1_2,1.6,"1,4",-1,0.5104012688436866
sample_1_ref_1_2,1.6,"1,5",-1,0.4872225021309977
sample_1_ref_1_2,1.6,"1,6",-1,0.5542579872767884
sample_1_ref_1_2,1.6,"2,3",-1,0.3876670397924088
sample_1_ref_1_2,1.6,"2,4",-1,0.5650726244126122
sample_1_ref_1_2,1.6,"2,5",-1,0.5912759419949862
sample_1_ref_1_2,1.6,"2,6",-1,0.6946583454813002
sample_1_ref_1_2,1.6,"3,4",-1,0.63190403541496
sample_1_ref_1_2,1.6,"3,5",-1,0.8447660959850071
sample_1_ref_1_2,1.6,"3,6",-1,0.8958383317793811
sample_1_ref_1_2,1.6,"4,5",-1,0.7488133797477556
sample_1_ref_1_2,1.6,"4,6",-1,0.8063179979534493
sample_1_ref_1_2,1.6,"5,6",-1,0.8575864450537222
sample_1_ref_1_2,1.7,"1,2",-1,0.4407633616276916
sample_1_ref_1_2,1.7,"1,3",-1,0.5402847225158166
sample_1_ref_1_2,1.7,"1,4",-1,0.4635259382954306
