sample,bin_size,PC_pair,TH,RMSE
sample_2_ref_1_3,0.1,"1,2",-1,0.08473360051880514
sample_2_ref_1_3,0.1,"1,3",-1,0.0795099499998543
sample_2_ref_1_3,0.1,"1,4",-1,0.17577327629209524
sample_2_ref_1_3,0.1,"1,5",-1,0.22028460393066848
sample_2_ref_1_3,0.1,"1,6",-1,0.4109496771469482
sample_2_ref_1_3,0.1,"2,3",-1,0.07017153090287667
sample_2_ref_1_3,0.1,"2,4",-1,0.06821234559551019
sample_2_ref_1_3,0.1,"2,5",-1,0.09426276343631591
sample_2_ref_1_3,0.1,"2,6",-1,0.4965464457893624
sample_2_ref_1_3,0.1,"3,4",-1,0.19383258842304227
sample_2_ref_1_3,0.1,"3,5",-1,0.17223638689411383
sample_2_ref_1_3,0.1,"3,6",-1,0.6861685548293424
sample_2_ref_1_3,0.1,"4,5",-1,0.27890960116719965
sample_2_ref_1_3,0.1,"4,6",-1,0.8025148327884577
sample_2_ref_1_3,0.1,"5,6",-1,0.8170146993452665
sample_2_ref_1_3,0.2,"1,2",-1,0.09418922865615968
sample_2_ref_1_3,0.2,"1,3",-1,0.2280661341635196
sample_2_ref_1_3,0.2,"1,4",-1,0.5350242817576942
sample_2_ref_1_3,0.2,"1,5",-1,0.2116698437231214
sample_2_ref_1_3,0.2,"1,6",-1,0.1477935221831631
sample_2_ref_1_3,0.2,"2,3",-1,0.08161866696047891
sample_2_ref_1_3,0.2,"2,4",-1,0.5394069687613178
sample_2_ref_1_3,0.2,"2,5",-1,0.10746396085325534
sample_2_ref_1_3,0.2,"2,6",-1,0.10042133048385515
sample_2_ref_1_3,0.2,"3,4",-1,0.8270013903633913
sample_2_ref_1_3,0.2,"3,5",-1,0.3521303919625061
sample_2_ref_1_3,0.2,"3,6",-1,0.17790399723434522
sample_2_ref_1_3,0.2,"4,5",-1,0.8939698247362518
sample_2_ref_1_3,0.2,"4,6",-1,0.8779659570068977
sample_2_ref_1_3,0.2,"5,6",-1,0.31966507660831656
sample_2_ref_1_3,0.3,"1,2",-1,0.10581949037553245
sample_2_ref_1_3,0.3,"1,3",-1,0.23864491354108194
sample_2_ref_1_3,0.3,"1,4",-1,0.5822487818783902
sample_2_ref_1_3,0.3,"1,5",-1,0.3400142488226882
sample_2_ref_1_3,0.3,"1,6",-1,0.2337650196630593
sample_2_ref_1_3,0.3,"2,3",-1,0.12745270959455085
sample_2_ref_1_3,0.3,"2,4",-1,0.5230404848654668
sample_2_ref_1_3,0.3,"2,5",-1,0.15243418159743216
sample_2_ref_1_3,0.3,"2,6",-1,0.15386540371888294
sample_2_ref_1_3,0.3,"3,4",-1,0.800671344451184
sample_2_ref_1_3,0.3,"3,5",-1,0.4830966232762016
sample_2_ref_1_3,0.3,"3,6",-1,0.2583596436187196
sample_2_ref_1_3,0.3,"4,5",-1,0.9177397806443394
sample_2_ref_1_3,0.3,"4,6",-1,0.9058161084202482
sample_2_ref_1_3,0.3,"5,6",-1,0.40920548494998443
sample_2_ref_1_3,0.4,"1,2",-1,0.12268398229683512
sample_2_ref_1_3,0.4,"1,3",-1,0.23048569752084577
sample_2_ref_1_3,0.4,"1,4",-1,0.19977747750100044
sample_2_ref_1_3,0.4,"1,5",-1,0.3185545586552009
sample_2_ref_1_3,0.4,"1,6",-1,0.2762771239507168
sample_2_ref_1_3,0.4,"2,3",-1,0.17288302663644423
sample_2_ref_1_3,0.4,"2,4",-1,0.14931281746397274
sample_2_ref_1_3,0.4,"2,5",-1,0.1410345529469534
sample_2_ref_1_3,0.4,"2,6",-1,0.18497310251608176
sample_2_ref_1_3,0.4,"3,4",-1,0.3162904484460962
sample_2_ref_1_3,0.4,"3,5",-1,0.3621241390503696
sample_2_ref_1_3,0.4,"3,6",-1,0.38117843766662807
sample_2_ref_1_3,0.4,"4,5",-1,0.37766197241492827
