bin_size,TH,PC_pair,mean_RMSE,std_RMSE,count,se
0.1,-3,"1,2",0.21667110336698372,0.05012865254150664,12,0.01447089551947604
0.1,-3,"1,3",0.3270801130770186,0.09887681206257537,12,0.028543277030469966
0.1,-3,"1,4",0.3570371783080836,0.15125979504575104,12,0.043664941693616
0.1,-3,"1,5",0.3715675802081626,0.13924671848799486,12,0.040197065201407936
0.1,-3,"1,6",0.3557712195341108,0.0679864930844039,12,0.01962601004176961
0.1,-3,"2,3",0.3382347326638131,0.1907375798912064,12,0.05506119654738289
0.1,-3,"2,4",0.4589591420722074,0.20021923082294396,12,0.05779831340628326
0.1,-3,"2,5",0.4873884606360819,0.1667822765334663,12,0.04814589612632769
0.1,-3,"2,6",0.43769315327856845,0.1527193352150416,12,0.04408627464843248
0.1,-3,"3,4",0.6534606427537186,0.19367982202901649,12,0.05591054869252574
0.1,-3,"3,5",0.6448347336648997,0.1722969237603867,12,0.04973783765680184
0.1,-3,"3,6",0.5400975317207807,0.16089932082306002,12,0.046447633094810835
0.1,-3,"4,5",0.6096614830696779,0.2083342934444653,12,0.06014093020079627
0.1,-3,"4,6",0.660742407812996,0.1764426914876678,12,0.05093461771347355
0.1,-3,"5,6",0.5741441258466361,0.14209970546219314,12,0.041020651600181875
0.1,-2,"1,2",0.14855482117520727,0.06586461319058375,12,0.019013476077827052
0.1,-2,"1,3",0.22106339326501312,0.06473325909744375,12,0.01868688228271547
0.1,-2,"1,4",0.3072146188721983,0.1637615204704472,12,0.047273878963257555
0.1,-2,"1,5",0.25331726739653854,0.07624272468488665,12,0.022009378810284915
0.1,-2,"1,6",0.26780569254899794,0.08361513042481028,12,0.024137609029544944
0.1,-2,"2,3",0.1924983065748761,0.057430468302498996,12,0.016578748167067035
0.1,-2,"2,4",0.35234297821410304,0.1828311498552774,12,0.05277880679259661
0.1,-2,"2,5",0.2885166072254525,0.1333922587288371,12,0.038507028242453153
0.1,-2,"2,6",0.26436292968860675,0.13964028355375435,12,0.04031067764973788
0.1,-2,"3,4",0.4375616161477636,0.260395400046763,12,0.07516967715636945
0.1,-2,"3,5",0.40419383555254024,0.19288409710375748,12,0.05568084269262615
0.1,-2,"3,6",0.4424047018072319,0.13700298099406447,12,0.03954935397835215
0.1,-2,"4,5",0.5867013040170334,0.2862033397803668,12,0.08261978763258235
0.1,-2,"4,6",0.616352614719336,0.22534434106070453,12,0.0650513079858783
0.1,-2,"5,6",0.5204305228510707,0.2722755970138688,12,0.0785991946148616
0.1,-1,"1,2",0.06126134589649854,0.01244431790538256,12,0.0035923651462769508
