sample,bin_size,PC_pair,TH,RMSE
sample_1_ref_1_2,0.1,"1,2",-1,0.026297826990825
sample_1_ref_1_2,0.1,"1,3",-1,0.0646547579719926
sample_1_ref_1_2,0.1,"1,4",-1,0.0883985983310706
sample_1_ref_1_2,0.1,"1,5",-1,0.1900557986707098
sample_1_ref_1_2,0.1,"1,6",-1,0.2978251129547015
sample_1_ref_1_2,0.1,"2,3",-1,0.0853054035722418
sample_1_ref_1_2,0.1,"2,4",-1,0.0806165337030988
sample_1_ref_1_2,0.1,"2,5",-1,0.2525281480048067
sample_1_ref_1_2,0.1,"2,6",-1,0.384840395466672
sample_1_ref_1_2,0.1,"3,4",-1,0.1651005975678747
sample_1_ref_1_2,0.1,"3,5",-1,0.114143728118442
sample_1_ref_1_2,0.1,"3,6",-1,0.5030993391434349
sample_1_ref_1_2,0.1,"4,5",-1,0.191121309478266
sample_1_ref_1_2,0.1,"4,6",-1,0.6461552751154354
sample_1_ref_1_2,0.1,"5,6",-1,0.74905476499254
sample_1_ref_1_2,0.2,"1,2",-1,0.0446096230933084
sample_1_ref_1_2,0.2,"1,3",-1,0.0656827098087264
sample_1_ref_1_2,0.2,"1,4",-1,0.1255668500610063
sample_1_ref_1_2,0.2,"1,5",-1,0.1181291931813065
sample_1_ref_1_2,0.2,"1,6",-1,0.1988263130901075
sample_1_ref_1_2,0.2,"2,3",-1,0.0719544564074046
sample_1_ref_1_2,0.2,"2,4",-1,0.0910691174296358
sample_1_ref_1_2,0.2,"2,5",-1,0.1407176234980774
sample_1_ref_1_2,0.2,"2,6",-1,0.3240500506971209
sample_1_ref_1_2,0.2,"3,4",-1,0.1873054915380062
sample_1_ref_1_2,0.2,"3,5",-1,0.1412521996079855
sample_1_ref_1_2,0.2,"3,6",-1,0.5261898390372921
sample_1_ref_1_2,0.2,"4,5",-1,0.2897297638209177
sample_1_ref_1_2,0.2,"4,6",-1,0.7287751661381574
sample_1_ref_1_2,0.2,"5,6",-1,0.8355493247677367
sample_1_ref_1_2,0.3,"1,2",-1,0.0548694794861674
sample_1_ref_1_2,0.3,"1,3",-1,0.0806285333191098
sample_1_ref_1_2,0.3,"1,4",-1,0.1183559137482356
sample_1_ref_1_2,0.3,"1,5",-1,0.0917788054076707
sample_1_ref_1_2,0.3,"1,6",-1,0.1507854373803706
sample_1_ref_1_2,0.3,"2,3",-1,0.0809156243406231
sample_1_ref_1_2,0.3,"2,4",-1,0.1230808500756347
sample_1_ref_1_2,0.3,"2,5",-1,0.1403554249220741
sample_1_ref_1_2,0.3,"2,6",-1,0.3340836757691838
sample_1_ref_1_2,0.3,"3,4",-1,0.2608181226661106
sample_1_ref_1_2,0.3,"3,5",-1,0.2011960867150458
sample_1_ref_1_2,0.3,"3,6",-1,0.4938912509630958
sample_1_ref_1_2,0.3,"4,5",-1,0.3906442355285284
sample_1_ref_1_2,0.3,"4,6",-1,0.7160183173182926
sample_1_ref_1_2,0.3,"5,6",-1,0.796082254035641
sample_1_ref_1_2,0.4,"1,2",-1,0.0707678781263131
sample_1_ref_1_2,0.4,"1,3",-1,0.1481615276456536
sample_1_ref_1_2,0.4,"1,4",-1,0.1216341271039326
sample_1_ref_1_2,0.4,"1,5",-1,0.3295127060105385
sample_1_ref_1_2,0.4,"1,6",-1,0.1857656374234173
sample_1_ref_1_2,0.4,"2,3",-1,0.0817130479163811
sample_1_ref_1_2,0.4,"2,4",-1,0.1179197763188909
sample_1_ref_1_2,0.4,"2,5",-1,0.3435509628525192
sample_1_ref_1_2,0.4,"2,6",-1,0.2333656472872304
sample_1_ref_1_2,0.4,"3,4",-1,0.2982562910945335
sample_1_ref_1_2,0.4,"3,5",-1,0.6945667355906637
sample_1_ref_1_2,0.4,"3,6",-1,0.3283937906774284
sample_1_ref_1_2,0.4,"4,5",-1,0.8210546932493131
sample_1_ref_1_2,0.4,"4,6",-1,0.5886040983365491
sample_1_ref_1_2,0.4,"5,6",-1,0.754005795538513
sample_1_ref_1_2,0.5,"1,2",-1,0.1282232199023679
sample_1_ref_1_2,0.5,"1,3",-1,0.2231474391049391
sample_1_ref_1_2,0.5,"1,4",-1,0.1170890630035733
sample_1_ref_1_2,0.5,"1,5",-1,0.1693990907164443
sample_1_ref_1_2,0.5,"1,6",-1,0.1695820867513232
sample_1_ref_1_2,0.5,"2,3",-1,0.1103849418910237
sample_1_ref_1_2,0.5,"2,4",-1,0.2238594725009538
sample_1_ref_1_2,0.5,"2,5",-1,0.3480495425222921
sample_1_ref_1_2,0.5,"2,6",-1,0.3054631509976568
sample_1_ref_1_2,0.5,"3,4",-1,0.2687124605956786
sample_1_ref_1_2,0.5,"3,5",-1,0.2510228108432631
sample_1_ref_1_2,0.5,"3,6",-1,0.4417608003329822
sample_1_ref_1_2,0.5,"4,5",-1,0.5239568624268154
sample_1_ref_1_2,0.5,"4,6",-1,0.5979176918853119
sample_1_ref_1_2,0.5,"5,6",-1,0.4408913115410702
sample_1_ref_1_2,0.6,"1,2",-1,0.1631117394247959
sample_1_ref_1_2,0.6,"1,3",-1,0.1401151523534853
sample_1_ref_1_2,0.6,"1,4",-1,0.1273494520169762
sample_1_ref_1_2,0.6,"1,5",-1,0.2189831272676664
sample_1_ref_1_2,0.6,"1,6",-1,0.2139065335698662
sample_1_ref_1_2,0.6,"2,3",-1,0.0969898915481755
sample_1_ref_1_2,0.6,"2,4",-1,0.1763576120015587
sample_1_ref_1_2,0.6,"2,5",-1,0.2999728385282207
sample_1_ref_1_2,0.6,"2,6",-1,0.3411718816058152
sample_1_ref_1_2,0.6,"3,4",-1,0.2325641908794597
sample_1_ref_1_2,0.6,"3,5",-1,0.2125801887371123
sample_1_ref_1_2,0.6,"3,6",-1,0.3369154505073211
sample_1_ref_1_2,0.6,"4,5",-1,0.4824873295740756
sample_1_ref_1_2,0.6,"4,6",-1,0.6568553372443066
sample_1_ref_1_2,0.6,"5,6",-1,0.7537316881513471
sample_1_ref_1_2,0.7,"1,2",-1,0.1026588966363488
sample_1_ref_1_2,0.7,"1,3",-1,0.1443617711244115
sample_1_ref_1_2,0.7,"1,4",-1,0.319224646686654
sample_1_ref_1_2,0.7,"1,5",-1,0.2801277396181691
sample_1_ref_1_2,0.7,"1,6",-1,0.2471223836692034
sample_1_ref_1_2,0.7,"2,3",-1,0.0892226393020859
sample_1_ref_1_2,0.7,"2,4",-1,0.4782727765003191
sample_1_ref_1_2,0.7,"2,5",-1,0.4277161687540438
sample_1_ref_1_2,0.7,"2,6",-1,0.3250829284046113
sample_1_ref_1_2,0.7,"3,4",-1,0.4574428662772209
sample_1_ref_1_2,0.7,"3,5",-1,0.3663259006557876
sample_1_ref_1_2,0.7,"3,6",-1,0.3460219347267143
sample_1_ref_1_2,0.7,"4,5",-1,0.8337142044987069
sample_1_ref_1_2,0.7,"4,6",-1,0.8161060015496266
sample_1_ref_1_2,0.7,"5,6",-1,0.8512758824970388
sample_1_ref_1_2,0.8,"1,2",-1,0.1114445923919427
sample_1_ref_1_2,0.8,"1,3",-1,0.142817859740372
sample_1_ref_1_2,0.8,"1,4",-1,0.3743810867140684
sample_1_ref_1_2,0.8,"1,5",-1,0.3301002240002493
sample_1_ref_1_2,0.8,"1,6",-1,0.2334249751346164
sample_1_ref_1_2,0.8,"2,3",-1,0.1193071966909353
sample_1_ref_1_2,0.8,"2,4",-1,0.5276373404646572
sample_1_ref_1_2,0.8,"2,5",-1,0.4031396258027184
sample_1_ref_1_2,0.8,"2,6",-1,0.3444127136309463
sample_1_ref_1_2,0.8,"3,4",-1,0.5341512752145079
sample_1_ref_1_2,0.8,"3,5",-1,0.4918369587614658
sample_1_ref_1_2,0.8,"3,6",-1,0.3108241564936691
sample_1_ref_1_2,0.8,"4,5",-1,0.7326025835057087
sample_1_ref_1_2,0.8,"4,6",-1,0.7929635472776946
sample_1_ref_1_2,0.8,"5,6",-1,0.8047339087347252
sample_1_ref_1_2,0.9,"1,2",-1,0.172866167791459
sample_1_ref_1_2,0.9,"1,3",-1,0.2565939736259923
sample_1_ref_1_2,0.9,"1,4",-1,0.2941129884850276
sample_1_ref_1_2,0.9,"1,5",-1,0.2856692282668859
sample_1_ref_1_2,0.9,"1,6",-1,0.3567684895405945
