sample,bin_size,PC_pair,TH,RMSE
sample_4_ref_1_3,0.1,"1,2",-1,0.04253784224924098
sample_4_ref_1_3,0.1,"1,3",-1,0.09334686425041928
sample_4_ref_1_3,0.1,"1,4",-1,0.07497840297528781
sample_4_ref_1_3,0.1,"1,5",-1,0.10462125842558329
sample_4_ref_1_3,0.1,"1,6",-1,0.30870007277671174
sample_4_ref_1_3,0.1,"2,3",-1,0.11979749397890468
sample_4_ref_1_3,0.1,"2,4",-1,0.15300969587182836
sample_4_ref_1_3,0.1,"2,5",-1,0.10094809412821719
sample_4_ref_1_3,0.1,"2,6",-1,0.3865973205131433
sample_4_ref_1_3,0.1,"3,4",-1,0.13153090401027795
sample_4_ref_1_3,0.1,"3,5",-1,0.15658035746971521
sample_4_ref_1_3,0.1,"3,6",-1,0.6566298521471602
sample_4_ref_1_3,0.1,"4,5",-1,0.24871710881316175
sample_4_ref_1_3,0.1,"4,6",-1,0.682366359450338
sample_4_ref_1_3,0.1,"5,6",-1,0.804545658210592
sample_4_ref_1_3,0.2,"1,2",-1,0.055354981511133335
sample_4_ref_1_3,0.2,"1,3",-1,0.08971085039312136
sample_4_ref_1_3,0.2,"1,4",-1,0.09804429709649676
sample_4_ref_1_3,0.2,"1,5",-1,0.13179449562913
sample_4_ref_1_3,0.2,"1,6",-1,0.276753177887332
sample_4_ref_1_3,0.2,"2,3",-1,0.1769854485095735
sample_4_ref_1_3,0.2,"2,4",-1,0.19722389635641266
sample_4_ref_1_3,0.2,"2,5",-1,0.13189406520894312
sample_4_ref_1_3,0.2,"2,6",-1,0.3811176990919452
sample_4_ref_1_3,0.2,"3,4",-1,0.17670370277817968
sample_4_ref_1_3,0.2,"3,5",-1,0.2637339329403891
sample_4_ref_1_3,0.2,"3,6",-1,0.6464329874744108
sample_4_ref_1_3,0.2,"4,5",-1,0.294861011897456
sample_4_ref_1_3,0.2,"4,6",-1,0.684818650022251
sample_4_ref_1_3,0.2,"5,6",-1,0.8363845897328268
sample_4_ref_1_3,0.3,"1,2",-1,0.07296603411793288
sample_4_ref_1_3,0.3,"1,3",-1,0.08474207322003684
sample_4_ref_1_3,0.3,"1,4",-1,0.12669626050063476
sample_4_ref_1_3,0.3,"1,5",-1,0.1023675653800701
sample_4_ref_1_3,0.3,"1,6",-1,0.27752211029057366
sample_4_ref_1_3,0.3,"2,3",-1,0.14957541523951343
sample_4_ref_1_3,0.3,"2,4",-1,0.14784851173338862
sample_4_ref_1_3,0.3,"2,5",-1,0.21040663358596615
sample_4_ref_1_3,0.3,"2,6",-1,0.37496166101900374
sample_4_ref_1_3,0.3,"3,4",-1,0.2028012129443174
