sample,bin_size,PC_pair,TH,RMSE
sample_1_ref_1_2,0.1,"1,2",-1,0.050026020624587
sample_1_ref_1_2,0.1,"1,3",-1,0.0461537921591331
sample_1_ref_1_2,0.1,"1,4",-1,0.0953898657135834
sample_1_ref_1_2,0.1,"1,5",-1,0.1487261710747775
sample_1_ref_1_2,0.1,"1,6",-1,0.0576201241549572
sample_1_ref_1_2,0.1,"2,3",-1,0.0846580194750311
sample_1_ref_1_2,0.1,"2,4",-1,0.1107478956367681
sample_1_ref_1_2,0.1,"2,5",-1,0.1534817984089322
sample_1_ref_1_2,0.1,"2,6",-1,0.0957022168838015
sample_1_ref_1_2,0.1,"3,4",-1,0.1716136966899979
sample_1_ref_1_2,0.1,"3,5",-1,0.1376481358859037
sample_1_ref_1_2,0.1,"3,6",-1,0.1732638592542398
sample_1_ref_1_2,0.1,"4,5",-1,0.2505272867628156
sample_1_ref_1_2,0.1,"4,6",-1,0.3262949151908949
sample_1_ref_1_2,0.1,"5,6",-1,0.2429396541894656
sample_1_ref_1_2,0.2,"1,2",-1,0.0717778920796212
sample_1_ref_1_2,0.2,"1,3",-1,0.0796726755726499
sample_1_ref_1_2,0.2,"1,4",-1,0.1626219876661203
sample_1_ref_1_2,0.2,"1,5",-1,0.3763052023149858
sample_1_ref_1_2,0.2,"1,6",-1,0.2419601311800814
sample_1_ref_1_2,0.2,"2,3",-1,0.1625909250835208
sample_1_ref_1_2,0.2,"2,4",-1,0.1199833335484006
sample_1_ref_1_2,0.2,"2,5",-1,0.4525787019361607
sample_1_ref_1_2,0.2,"2,6",-1,0.1462540625463068
sample_1_ref_1_2,0.2,"3,4",-1,0.2678913236329256
sample_1_ref_1_2,0.2,"3,5",-1,0.7615275759440581
sample_1_ref_1_2,0.2,"3,6",-1,0.2286310204353158
sample_1_ref_1_2,0.2,"4,5",-1,0.7786775011319418
sample_1_ref_1_2,0.2,"4,6",-1,0.3871414179585534
sample_1_ref_1_2,0.2,"5,6",-1,0.9086800667135784
sample_1_ref_1_2,0.3,"1,2",-1,0.1127391353319352
sample_1_ref_1_2,0.3,"1,3",-1,0.1007944668146628
sample_1_ref_1_2,0.3,"1,4",-1,0.4259231045927111
sample_1_ref_1_2,0.3,"1,5",-1,0.1087121465385488
sample_1_ref_1_2,0.3,"1,6",-1,0.181003059854847
sample_1_ref_1_2,0.3,"2,3",-1,0.1494378447106077
sample_1_ref_1_2,0.3,"2,4",-1,0.6010821696001266
sample_1_ref_1_2,0.3,"2,5",-1,0.193424679111747
