sample,bin_size,PC_pair,TH,RMSE
sample_2_ref_1_3,0.1,"1,2",-1,0.06807923046394426
sample_2_ref_1_3,0.1,"1,3",-1,0.07343259739039107
sample_2_ref_1_3,0.1,"1,4",-1,0.1329186485795538
sample_2_ref_1_3,0.1,"1,5",-1,0.3192682459238279
sample_2_ref_1_3,0.1,"1,6",-1,0.14126038789248724
sample_2_ref_1_3,0.1,"2,3",-1,0.1406400121627672
sample_2_ref_1_3,0.1,"2,4",-1,0.12167706301063268
sample_2_ref_1_3,0.1,"2,5",-1,0.52554939773688
sample_2_ref_1_3,0.1,"2,6",-1,0.09839882794716391
sample_2_ref_1_3,0.1,"3,4",-1,0.19075946761806964
sample_2_ref_1_3,0.1,"3,5",-1,0.7969061659321155
sample_2_ref_1_3,0.1,"3,6",-1,0.1696091612928479
sample_2_ref_1_3,0.1,"4,5",-1,0.8285937286516147
sample_2_ref_1_3,0.1,"4,6",-1,0.13737818762157053
sample_2_ref_1_3,0.1,"5,6",-1,0.8780059374566723
sample_2_ref_1_3,0.2,"1,2",-1,0.06982635813804348
sample_2_ref_1_3,0.2,"1,3",-1,0.07544110854092229
sample_2_ref_1_3,0.2,"1,4",-1,0.09466813593193027
sample_2_ref_1_3,0.2,"1,5",-1,0.08565663225926942
sample_2_ref_1_3,0.2,"1,6",-1,0.08633928623852834
sample_2_ref_1_3,0.2,"2,3",-1,0.13710633577346407
sample_2_ref_1_3,0.2,"2,4",-1,0.17568313115229905
sample_2_ref_1_3,0.2,"2,5",-1,0.1391858948744071
sample_2_ref_1_3,0.2,"2,6",-1,0.14886954911658312
sample_2_ref_1_3,0.2,"3,4",-1,0.23759860779157108
sample_2_ref_1_3,0.2,"3,5",-1,0.18086593912879237
sample_2_ref_1_3,0.2,"3,6",-1,0.1710431740793527
sample_2_ref_1_3,0.2,"4,5",-1,0.1409073267685372
sample_2_ref_1_3,0.2,"4,6",-1,0.18730533673882002
sample_2_ref_1_3,0.2,"5,6",-1,0.29940199915934557
sample_2_ref_1_3,0.3,"1,2",-1,0.09584317835665893
sample_2_ref_1_3,0.3,"1,3",-1,0.09858355462154501
sample_2_ref_1_3,0.3,"1,4",-1,0.24818011674871093
sample_2_ref_1_3,0.3,"1,5",-1,0.3171928955293119
sample_2_ref_1_3,0.3,"1,6",-1,0.32126875705786206
sample_2_ref_1_3,0.3,"2,3",-1,0.1472852236300799
sample_2_ref_1_3,0.3,"2,4",-1,0.21666909335564252
sample_2_ref_1_3,0.3,"2,5",-1,0.146387948138078
sample_2_ref_1_3,0.3,"2,6",-1,0.14958890094746766
sample_2_ref_1_3,0.3,"3,4",-1,0.1865016299931728
sample_2_ref_1_3,0.3,"3,5",-1,0.17940054065353633
sample_2_ref_1_3,0.3,"3,6",-1,0.14133859449116606
sample_2_ref_1_3,0.3,"4,5",-1,0.18625774455987584
sample_2_ref_1_3,0.3,"4,6",-1,0.1962347206353229
sample_2_ref_1_3,0.3,"5,6",-1,0.44052568418227955
sample_2_ref_1_3,0.4,"1,2",-1,0.07582687553285469
sample_2_ref_1_3,0.4,"1,3",-1,0.08975367791242067
sample_2_ref_1_3,0.4,"1,4",-1,0.21023972915511374
sample_2_ref_1_3,0.4,"1,5",-1,0.4252388306250648
sample_2_ref_1_3,0.4,"1,6",-1,0.3188288013034628
sample_2_ref_1_3,0.4,"2,3",-1,0.14228596009442393
sample_2_ref_1_3,0.4,"2,4",-1,0.20885292117956483
sample_2_ref_1_3,0.4,"2,5",-1,0.4386282089064665
sample_2_ref_1_3,0.4,"2,6",-1,0.14288933673370732
sample_2_ref_1_3,0.4,"3,4",-1,0.3132331468242723
sample_2_ref_1_3,0.4,"3,5",-1,0.7224667281651374
sample_2_ref_1_3,0.4,"3,6",-1,0.23891692578717222
sample_2_ref_1_3,0.4,"4,5",-1,0.9033848752542031
sample_2_ref_1_3,0.4,"4,6",-1,0.3342889182359628
sample_2_ref_1_3,0.4,"5,6",-1,0.8771818587805105
sample_2_ref_1_3,0.5,"1,2",-1,0.10716820637594712
sample_2_ref_1_3,0.5,"1,3",-1,0.10024924743166046
sample_2_ref_1_3,0.5,"1,4",-1,0.21795877269289324
sample_2_ref_1_3,0.5,"1,5",-1,0.3011669106361185
sample_2_ref_1_3,0.5,"1,6",-1,0.32840314035573437
sample_2_ref_1_3,0.5,"2,3",-1,0.11693555314203724
sample_2_ref_1_3,0.5,"2,4",-1,0.16447909735498467
sample_2_ref_1_3,0.5,"2,5",-1,0.14188981421796804
sample_2_ref_1_3,0.5,"2,6",-1,0.14469560691110822
sample_2_ref_1_3,0.5,"3,4",-1,0.24992282979580194
sample_2_ref_1_3,0.5,"3,5",-1,0.25001334932955227
sample_2_ref_1_3,0.5,"3,6",-1,0.21133756759352898
sample_2_ref_1_3,0.5,"4,5",-1,0.33489090009921385
sample_2_ref_1_3,0.5,"4,6",-1,0.3593335872682821
sample_2_ref_1_3,0.5,"5,6",-1,0.3663118236643171
sample_2_ref_1_3,0.6,"1,2",-1,0.1381014449744188
sample_2_ref_1_3,0.6,"1,3",-1,0.17363274124180406
sample_2_ref_1_3,0.6,"1,4",-1,0.24466173948742528
sample_2_ref_1_3,0.6,"1,5",-1,0.37162761678347733
sample_2_ref_1_3,0.6,"1,6",-1,0.332086715084437
sample_2_ref_1_3,0.6,"2,3",-1,0.18481180300656683
sample_2_ref_1_3,0.6,"2,4",-1,0.2710248839557887
sample_2_ref_1_3,0.6,"2,5",-1,0.45003734287536196
sample_2_ref_1_3,0.6,"2,6",-1,0.32153833846091895
sample_2_ref_1_3,0.6,"3,4",-1,0.33546318374625744
sample_2_ref_1_3,0.6,"3,5",-1,0.6558844178022389
sample_2_ref_1_3,0.6,"3,6",-1,0.4504612090949825
sample_2_ref_1_3,0.6,"4,5",-1,0.819668310499874
sample_2_ref_1_3,0.6,"4,6",-1,0.6261561248109332
sample_2_ref_1_3,0.6,"5,6",-1,0.7578301151029638
sample_2_ref_1_3,0.7,"1,2",-1,0.18018563050134762
sample_2_ref_1_3,0.7,"1,3",-1,0.2279091880920918
sample_2_ref_1_3,0.7,"1,4",-1,0.24901624975192377
sample_2_ref_1_3,0.7,"1,5",-1,0.3814674889156933
sample_2_ref_1_3,0.7,"1,6",-1,0.3139333802507673
