sample,bin_size,PC_pair,TH,RMSE
sample_3_ref_4_6,0.1,"1,2",-1,0.7907149319787873
sample_3_ref_4_6,0.1,"1,3",-1,0.06437809180361408
sample_3_ref_4_6,0.1,"1,4",-1,0.158144221114972
sample_3_ref_4_6,0.1,"1,5",-1,0.12132188579494088
sample_3_ref_4_6,0.1,"1,6",-1,0.12132955977279784
sample_3_ref_4_6,0.1,"2,3",-1,0.7607962819163357
sample_3_ref_4_6,0.1,"2,4",-1,0.5751701721063607
sample_3_ref_4_6,0.1,"2,5",-1,0.5108590891108571
sample_3_ref_4_6,0.1,"2,6",-1,0.47389475917233626
sample_3_ref_4_6,0.1,"3,4",-1,0.07488228435621394
sample_3_ref_4_6,0.1,"3,5",-1,0.1409360438041982
sample_3_ref_4_6,0.1,"3,6",-1,0.12799167876108097
sample_3_ref_4_6,0.1,"4,5",-1,0.12858066509401833
sample_3_ref_4_6,0.1,"4,6",-1,0.10700388253363438
sample_3_ref_4_6,0.1,"5,6",-1,0.1048456819487574
sample_3_ref_4_6,0.2,"1,2",-1,0.06583720237789127
sample_3_ref_4_6,0.2,"1,3",-1,0.06274423511330954
sample_3_ref_4_6,0.2,"1,4",-1,0.0866461068251194
sample_3_ref_4_6,0.2,"1,5",-1,0.09542784500304853
sample_3_ref_4_6,0.2,"1,6",-1,0.3537543592522581
sample_3_ref_4_6,0.2,"2,3",-1,0.0687207151932069
sample_3_ref_4_6,0.2,"2,4",-1,0.16809038205589352
sample_3_ref_4_6,0.2,"2,5",-1,0.19985599722352476
sample_3_ref_4_6,0.2,"2,6",-1,0.44436613208387826
sample_3_ref_4_6,0.2,"3,4",-1,0.10233291858390783
sample_3_ref_4_6,0.2,"3,5",-1,0.17983727817539047
sample_3_ref_4_6,0.2,"3,6",-1,0.5209610847241646
sample_3_ref_4_6,0.2,"4,5",-1,0.16498707027165274
sample_3_ref_4_6,0.2,"4,6",-1,0.776367757788762
sample_3_ref_4_6,0.2,"5,6",-1,0.7725636708205447
sample_3_ref_4_6,0.3,"1,2",-1,0.06644675359268168
sample_3_ref_4_6,0.3,"1,3",-1,0.07907106358610978
sample_3_ref_4_6,0.3,"1,4",-1,0.10475052732941693
sample_3_ref_4_6,0.3,"1,5",-1,0.16272220619650024
sample_3_ref_4_6,0.3,"1,6",-1,0.12932147002035094
sample_3_ref_4_6,0.3,"2,3",-1,0.07948009365727561
sample_3_ref_4_6,0.3,"2,4",-1,0.08427344605327335
sample_3_ref_4_6,0.3,"2,5",-1,0.11102196995208242
sample_3_ref_4_6,0.3,"2,6",-1,0.12303163528888222
sample_3_ref_4_6,0.3,"3,4",-1,0.10448495737625461
sample_3_ref_4_6,0.3,"3,5",-1,0.168691883191899
sample_3_ref_4_6,0.3,"3,6",-1,0.14184490894335047
sample_3_ref_4_6,0.3,"4,5",-1,0.20159913218187653
sample_3_ref_4_6,0.3,"4,6",-1,0.16290726919291043
sample_3_ref_4_6,0.3,"5,6",-1,0.24329892230372824
sample_3_ref_4_6,0.4,"1,2",-1,0.3033605367401393
sample_3_ref_4_6,0.4,"1,3",-1,0.2522418182528577
sample_3_ref_4_6,0.4,"1,4",-1,0.07551025925609856
sample_3_ref_4_6,0.4,"1,5",-1,0.3097023561341884
sample_3_ref_4_6,0.4,"1,6",-1,0.08944324926121505
sample_3_ref_4_6,0.4,"2,3",-1,0.08154359018785758
sample_3_ref_4_6,0.4,"2,4",-1,0.5022524804814681
sample_3_ref_4_6,0.4,"2,5",-1,0.7055487808861746
sample_3_ref_4_6,0.4,"2,6",-1,0.5093597419158196
sample_3_ref_4_6,0.4,"3,4",-1,0.46818232097821944
sample_3_ref_4_6,0.4,"3,5",-1,0.767322506091933
sample_3_ref_4_6,0.4,"3,6",-1,0.47103502315886314
sample_3_ref_4_6,0.4,"4,5",-1,0.7920349637955196
sample_3_ref_4_6,0.4,"4,6",-1,0.16160589549203638
sample_3_ref_4_6,0.4,"5,6",-1,0.8218351677186747
sample_3_ref_4_6,0.5,"1,2",-1,0.5109645254117853
sample_3_ref_4_6,0.5,"1,3",-1,0.45081303909555404
sample_3_ref_4_6,0.5,"1,4",-1,0.44878606586113734
sample_3_ref_4_6,0.5,"1,5",-1,0.2455930458945695
sample_3_ref_4_6,0.5,"1,6",-1,0.18463968659238647
sample_3_ref_4_6,0.5,"2,3",-1,0.8351530846671948
sample_3_ref_4_6,0.5,"2,4",-1,0.8135977205504439
sample_3_ref_4_6,0.5,"2,5",-1,0.7867208435630851
sample_3_ref_4_6,0.5,"2,6",-1,0.8103564696097634
sample_3_ref_4_6,0.5,"3,4",-1,0.8276555102681133
sample_3_ref_4_6,0.5,"3,5",-1,0.7698384417568221
sample_3_ref_4_6,0.5,"3,6",-1,0.7832774725179176
sample_3_ref_4_6,0.5,"4,5",-1,0.7981223547634432
sample_3_ref_4_6,0.5,"4,6",-1,0.8460148883910252
sample_3_ref_4_6,0.5,"5,6",-1,0.19082029400106884
sample_3_ref_4_6,0.6,"1,2",-1,0.3680545789881598
sample_3_ref_4_6,0.6,"1,3",-1,0.3485334476652482
sample_3_ref_4_6,0.6,"1,4",-1,0.15571523977812038
sample_3_ref_4_6,0.6,"1,5",-1,0.27277789976594247
sample_3_ref_4_6,0.6,"1,6",-1,0.3967347788181501
sample_3_ref_4_6,0.6,"2,3",-1,0.11505254720120467
sample_3_ref_4_6,0.6,"2,4",-1,0.5825502061671994
sample_3_ref_4_6,0.6,"2,5",-1,0.6255648213589508
sample_3_ref_4_6,0.6,"2,6",-1,0.711733908038757
sample_3_ref_4_6,0.6,"3,4",-1,0.47081371893991153
sample_3_ref_4_6,0.6,"3,5",-1,0.650605495008029
sample_3_ref_4_6,0.6,"3,6",-1,0.8116103186302644
sample_3_ref_4_6,0.6,"4,5",-1,0.5779446858940718
sample_3_ref_4_6,0.6,"4,6",-1,0.7336157075576966
sample_3_ref_4_6,0.6,"5,6",-1,0.8407228611146217
sample_3_ref_4_6,0.7,"1,2",-1,0.13934325932369954
sample_3_ref_4_6,0.7,"1,3",-1,0.6310847081723273
sample_3_ref_4_6,0.7,"1,4",-1,0.1758638993402801
sample_3_ref_4_6,0.7,"1,5",-1,0.12420135293363192
sample_3_ref_4_6,0.7,"1,6",-1,0.3553421054278204
sample_3_ref_4_6,0.7,"2,3",-1,0.8694630773300449
sample_3_ref_4_6,0.7,"2,4",-1,0.3568099017329047
sample_3_ref_4_6,0.7,"2,5",-1,0.34954569017937975
sample_3_ref_4_6,0.7,"2,6",-1,0.5988666796612376
sample_3_ref_4_6,0.7,"3,4",-1,0.6674451391484663
sample_3_ref_4_6,0.7,"3,5",-1,0.6323542794061567
sample_3_ref_4_6,0.7,"3,6",-1,0.33067765416448974
sample_3_ref_4_6,0.7,"4,5",-1,0.37812388051653595
sample_3_ref_4_6,0.7,"4,6",-1,0.7969760036695954
sample_3_ref_4_6,0.7,"5,6",-1,0.8145128587978996
sample_3_ref_4_6,0.8,"1,2",-1,0.6531617685184438
sample_3_ref_4_6,0.8,"1,3",-1,0.27582533967055095
sample_3_ref_4_6,0.8,"1,4",-1,0.4179436565357966
sample_3_ref_4_6,0.8,"1,5",-1,0.45787648261519776
sample_3_ref_4_6,0.8,"1,6",-1,0.3296815167234181
sample_3_ref_4_6,0.8,"2,3",-1,0.86457553108987
sample_3_ref_4_6,0.8,"2,4",-1,0.4680782605494481
sample_3_ref_4_6,0.8,"2,5",-1,0.4465931457669909
sample_3_ref_4_6,0.8,"2,6",-1,0.4731172257405209
sample_3_ref_4_6,0.8,"3,4",-1,0.7645291878046637
sample_3_ref_4_6,0.8,"3,5",-1,0.7254256919277994
