sample,bin_size,PC_pair,TH,RMSE
sample_2_real_4,0.1,"1,2",-1,0.737775259523779
sample_2_real_4,0.1,"1,3",-1,0.7848406379149157
sample_2_real_4,0.1,"1,4",-1,0.8079942529418478
sample_2_real_4,0.1,"1,5",-1,0.78341408603785
sample_2_real_4,0.1,"1,6",-1,0.7974730195373979
sample_2_real_4,0.1,"2,3",-1,0.8576134634053127
sample_2_real_4,0.1,"2,4",-1,0.800714845632611
sample_2_real_4,0.1,"2,5",-1,0.7872574557830277
sample_2_real_4,0.1,"2,6",-1,0.8122201786084784
sample_2_real_4,0.1,"3,4",-1,0.832443547819014
sample_2_real_4,0.1,"3,5",-1,0.8784989680197738
sample_2_real_4,0.1,"3,6",-1,0.7718089853875961
sample_2_real_4,0.1,"4,5",-1,0.8534511340267397
sample_2_real_4,0.1,"4,6",-1,0.7709352359115127
sample_2_real_4,0.1,"5,6",-1,0.8066620414117673
sample_2_real_4,0.2,"1,2",-1,0.7483713274351685
sample_2_real_4,0.2,"1,3",-1,0.7898363196614607
sample_2_real_4,0.2,"1,4",-1,0.7943544734398857
sample_2_real_4,0.2,"1,5",-1,0.7620777810572844
sample_2_real_4,0.2,"1,6",-1,0.783680633474683
sample_2_real_4,0.2,"2,3",-1,0.8485003154605185
sample_2_real_4,0.2,"2,4",-1,0.7875580748844967
sample_2_real_4,0.2,"2,5",-1,0.7709360310929406
sample_2_real_4,0.2,"2,6",-1,0.7954050031162616
sample_2_real_4,0.2,"3,4",-1,0.8269028577488625
sample_2_real_4,0.2,"3,5",-1,0.8634685412962938
sample_2_real_4,0.2,"3,6",-1,0.7900472546763966
sample_2_real_4,0.2,"4,5",-1,0.8451003660225358
sample_2_real_4,0.2,"4,6",-1,0.7994864062046563
sample_2_real_4,0.2,"5,6",-1,0.8243189009908174
sample_2_real_4,0.3,"1,2",-1,0.7597091520051399
sample_2_real_4,0.3,"1,3",-1,0.7990089418675662
sample_2_real_4,0.3,"1,4",-1,0.7920835342376626
sample_2_real_4,0.3,"1,5",-1,0.7870246630894526
sample_2_real_4,0.3,"1,6",-1,0.7920014638458164
sample_2_real_4,0.3,"2,3",-1,0.8415903668791929
sample_2_real_4,0.3,"2,4",-1,0.780148835544885
sample_2_real_4,0.3,"2,5",-1,0.772253208613494
sample_2_real_4,0.3,"2,6",-1,0.7930805604941289
sample_2_real_4,0.3,"3,4",-1,0.8664181550777298
sample_2_real_4,0.3,"3,5",-1,0.863818019821752
sample_2_real_4,0.3,"3,6",-1,0.796039409124145
sample_2_real_4,0.3,"4,5",-1,0.7987928979683514
sample_2_real_4,0.3,"4,6",-1,0.8546607459641464
sample_2_real_4,0.3,"5,6",-1,0.8383842166580883
sample_2_real_4,0.4,"1,2",-1,0.7745955857411412
sample_2_real_4,0.4,"1,3",-1,0.8132172165449681
