sample,bin_size,PC_pair,TH,RMSE
sample_1_ref_1_2,0.1,"1,2",-1,0.2007852182263139
sample_1_ref_1_2,0.1,"1,3",-1,0.2197667265736631
sample_1_ref_1_2,0.1,"1,4",-1,0.4604967643112965
sample_1_ref_1_2,0.1,"1,5",-1,0.2155329396550715
sample_1_ref_1_2,0.1,"1,6",-1,0.2927526408754809
sample_1_ref_1_2,0.1,"2,3",-1,0.0935486159834396
sample_1_ref_1_2,0.1,"2,4",-1,0.6831099870095261
sample_1_ref_1_2,0.1,"2,5",-1,0.4997843548289586
sample_1_ref_1_2,0.1,"2,6",-1,0.5210920262306115
sample_1_ref_1_2,0.1,"3,4",-1,0.6795314363023861
sample_1_ref_1_2,0.1,"3,5",-1,0.4472494156443499
sample_1_ref_1_2,0.1,"3,6",-1,0.40238909228682
sample_1_ref_1_2,0.1,"4,5",-1,0.7872424803850834
sample_1_ref_1_2,0.1,"4,6",-1,0.7852684504556647
sample_1_ref_1_2,0.1,"5,6",-1,0.2738229680875306
sample_1_ref_1_2,0.2,"1,2",-1,0.1812184426674308
sample_1_ref_1_2,0.2,"1,3",-1,0.1323105673857816
sample_1_ref_1_2,0.2,"1,4",-1,0.4699084213842808
sample_1_ref_1_2,0.2,"1,5",-1,0.3272532908526394
sample_1_ref_1_2,0.2,"1,6",-1,0.2612435792656289
sample_1_ref_1_2,0.2,"2,3",-1,0.1721241555171001
sample_1_ref_1_2,0.2,"2,4",-1,0.585560926382811
sample_1_ref_1_2,0.2,"2,5",-1,0.3919686150734208
sample_1_ref_1_2,0.2,"2,6",-1,0.4250177750030094
sample_1_ref_1_2,0.2,"3,4",-1,0.4894990299564603
sample_1_ref_1_2,0.2,"3,5",-1,0.2757122978942325
sample_1_ref_1_2,0.2,"3,6",-1,0.3150950330218811
sample_1_ref_1_2,0.2,"4,5",-1,0.7018898529501344
sample_1_ref_1_2,0.2,"4,6",-1,0.6996327936757333
sample_1_ref_1_2,0.2,"5,6",-1,0.2959198000719127
sample_1_ref_1_2,0.3,"1,2",-1,0.2661217588022064
sample_1_ref_1_2,0.3,"1,3",-1,0.1457356861085076
sample_1_ref_1_2,0.3,"1,4",-1,0.2640974617002598
sample_1_ref_1_2,0.3,"1,5",-1,0.3684585471700533
sample_1_ref_1_2,0.3,"1,6",-1,0.4240432335843873
sample_1_ref_1_2,0.3,"2,3",-1,0.1368639091871759
sample_1_ref_1_2,0.3,"2,4",-1,0.5076269479374722
sample_1_ref_1_2,0.3,"2,5",-1,0.5939774618114236
sample_1_ref_1_2,0.3,"2,6",-1,0.6166568421358969
sample_1_ref_1_2,0.3,"3,4",-1,0.3188238781970339
sample_1_ref_1_2,0.3,"3,5",-1,0.4304069876182191
sample_1_ref_1_2,0.3,"3,6",-1,0.451090825324474
sample_1_ref_1_2,0.3,"4,5",-1,0.6021826269903753
sample_1_ref_1_2,0.3,"4,6",-1,0.7376983176937901
sample_1_ref_1_2,0.3,"5,6",-1,0.4501479463819227
sample_1_ref_1_2,0.4,"1,2",-1,0.1898554140093724
sample_1_ref_1_2,0.4,"1,3",-1,0.0974886190878602
sample_1_ref_1_2,0.4,"1,4",-1,0.2438940796619794
sample_1_ref_1_2,0.4,"1,5",-1,0.3928681300364166
sample_1_ref_1_2,0.4,"1,6",-1,0.3111268727067828
sample_1_ref_1_2,0.4,"2,3",-1,0.1389121404900757
sample_1_ref_1_2,0.4,"2,4",-1,0.2904588634453496
sample_1_ref_1_2,0.4,"2,5",-1,0.3651562421179959
sample_1_ref_1_2,0.4,"2,6",-1,0.2931467551084053
sample_1_ref_1_2,0.4,"3,4",-1,0.2219348850564583
sample_1_ref_1_2,0.4,"3,5",-1,0.3637449748126177
sample_1_ref_1_2,0.4,"3,6",-1,0.2798497383463398
sample_1_ref_1_2,0.4,"4,5",-1,0.6365893495539575
sample_1_ref_1_2,0.4,"4,6",-1,0.329205977022491
sample_1_ref_1_2,0.4,"5,6",-1,0.5821398068597807
sample_1_ref_1_2,0.5,"1,2",-1,0.2588576940228555
sample_1_ref_1_2,0.5,"1,3",-1,0.7332668597913737
sample_1_ref_1_2,0.5,"1,4",-1,0.3328178464859657
sample_1_ref_1_2,0.5,"1,5",-1,0.3863283373727998
sample_1_ref_1_2,0.5,"1,6",-1,0.3992369128015806
sample_1_ref_1_2,0.5,"2,3",-1,0.784674256320101
sample_1_ref_1_2,0.5,"2,4",-1,0.3321200586752021
sample_1_ref_1_2,0.5,"2,5",-1,0.4123310118641544
sample_1_ref_1_2,0.5,"2,6",-1,0.412177330693467
sample_1_ref_1_2,0.5,"3,4",-1,0.4964264269166278
sample_1_ref_1_2,0.5,"3,5",-1,0.376957173591774
sample_1_ref_1_2,0.5,"3,6",-1,0.4300456387703988
sample_1_ref_1_2,0.5,"4,5",-1,0.5732601327532929
sample_1_ref_1_2,0.5,"4,6",-1,0.6700381190924674
sample_1_ref_1_2,0.5,"5,6",-1,0.6572259610211574
sample_1_ref_1_2,0.6,"1,2",-1,0.2909271980192197
sample_1_ref_1_2,0.6,"1,3",-1,0.7468286067210405
sample_1_ref_1_2,0.6,"1,4",-1,0.5582409003103124
sample_1_ref_1_2,0.6,"1,5",-1,0.4502795200194766
sample_1_ref_1_2,0.6,"1,6",-1,0.5420280984874604
sample_1_ref_1_2,0.6,"2,3",-1,0.812562104841721
sample_1_ref_1_2,0.6,"2,4",-1,0.3854720824491117
sample_1_ref_1_2,0.6,"2,5",-1,0.3462038908988844
sample_1_ref_1_2,0.6,"2,6",-1,0.4321352747552492
sample_1_ref_1_2,0.6,"3,4",-1,0.3208788903150616
sample_1_ref_1_2,0.6,"3,5",-1,0.3231681081947722
sample_1_ref_1_2,0.6,"3,6",-1,0.354333569012779
sample_1_ref_1_2,0.6,"4,5",-1,0.5174034868933661
sample_1_ref_1_2,0.6,"4,6",-1,0.5687516363539483
sample_1_ref_1_2,0.6,"5,6",-1,0.551698806369025
sample_1_ref_1_2,0.7,"1,2",-1,0.2815130107903833
sample_1_ref_1_2,0.7,"1,3",-1,0.761538687909397
sample_1_ref_1_2,0.7,"1,4",-1,0.3570914227555598
sample_1_ref_1_2,0.7,"1,5",-1,0.5443560721356776
sample_1_ref_1_2,0.7,"1,6",-1,0.4274234118415506
sample_1_ref_1_2,0.7,"2,3",-1,0.7628357586879976
sample_1_ref_1_2,0.7,"2,4",-1,0.4819420402037758
sample_1_ref_1_2,0.7,"2,5",-1,0.5879704823507309
sample_1_ref_1_2,0.7,"2,6",-1,0.5314684983970819
sample_1_ref_1_2,0.7,"3,4",-1,0.5030779703267251
sample_1_ref_1_2,0.7,"3,5",-1,0.3547263713186988
sample_1_ref_1_2,0.7,"3,6",-1,0.3660627319930196
sample_1_ref_1_2,0.7,"4,5",-1,0.8436294139765971
sample_1_ref_1_2,0.7,"4,6",-1,0.7352758428884374
sample_1_ref_1_2,0.7,"5,6",-1,0.5845027166106227
sample_1_ref_1_2,0.8,"1,2",-1,0.8087384669167382
sample_1_ref_1_2,0.8,"1,3",-1,0.7710641709649402
sample_1_ref_1_2,0.8,"1,4",-1,0.4507581917739533
sample_1_ref_1_2,0.8,"1,5",-1,0.609778057735615
sample_1_ref_1_2,0.8,"1,6",-1,0.5310585149812468
sample_1_ref_1_2,0.8,"2,3",-1,0.1663049664785532
sample_1_ref_1_2,0.8,"2,4",-1,0.5927937857260089
sample_1_ref_1_2,0.8,"2,5",-1,0.4060212623116238
sample_1_ref_1_2,0.8,"2,6",-1,0.507360216843228
sample_1_ref_1_2,0.8,"3,4",-1,0.6337564462667736
sample_1_ref_1_2,0.8,"3,5",-1,0.503208952169119
sample_1_ref_1_2,0.8,"3,6",-1,0.52441191573523
sample_1_ref_1_2,0.8,"4,5",-1,0.7252562712969169
sample_1_ref_1_2,0.8,"4,6",-1,0.5759203545054844
sample_1_ref_1_2,0.8,"5,6",-1,0.665790219466621
sample_1_ref_1_2,0.9,"1,2",-1,0.2822524813169886
sample_1_ref_1_2,0.9,"1,3",-1,0.7355553284966448
sample_1_ref_1_2,0.9,"1,4",-1,0.3984674104790037
sample_1_ref_1_2,0.9,"1,5",-1,0.5325140709775817
sample_1_ref_1_2,0.9,"1,6",-1,0.468658754528977
sample_1_ref_1_2,0.9,"2,3",-1,0.8016975735443748
sample_1_ref_1_2,0.9,"2,4",-1,0.2344430757019436
sample_1_ref_1_2,0.9,"2,5",-1,0.4164816985049911
sample_1_ref_1_2,0.9,"2,6",-1,0.4381919849519788
sample_1_ref_1_2,0.9,"3,4",-1,0.590785795344122
sample_1_ref_1_2,0.9,"3,5",-1,0.3758365943863389
sample_1_ref_1_2,0.9,"3,6",-1,0.3863510814265166
sample_1_ref_1_2,0.9,"4,5",-1,0.8041687527807999
sample_1_ref_1_2,0.9,"4,6",-1,0.6830866892023335
sample_1_ref_1_2,0.9,"5,6",-1,0.6229767005566562
sample_1_ref_1_2,1.0,"1,2",-1,0.8387728617825295
sample_1_ref_1_2,1.0,"1,3",-1,0.223044169976145
sample_1_ref_1_2,1.0,"1,4",-1,0.3445778516262343
sample_1_ref_1_2,1.0,"1,5",-1,0.5300871926506998
sample_1_ref_1_2,1.0,"1,6",-1,0.4780299958178622
sample_1_ref_1_2,1.0,"2,3",-1,0.8429215583772344
sample_1_ref_1_2,1.0,"2,4",-1,0.6209145802928417
sample_1_ref_1_2,1.0,"2,5",-1,0.3313958722632436
sample_1_ref_1_2,1.0,"2,6",-1,0.4441598535310926
sample_1_ref_1_2,1.0,"3,4",-1,0.179141358476451
sample_1_ref_1_2,1.0,"3,5",-1,0.4577380873536392
sample_1_ref_1_2,1.0,"3,6",-1,0.2815063199452174
sample_1_ref_1_2,1.0,"4,5",-1,0.7898573718903417
sample_1_ref_1_2,1.0,"4,6",-1,0.5901322152578926
sample_1_ref_1_2,1.0,"5,6",-1,0.7648122911656415
sample_1_ref_1_2,1.1,"1,2",-1,0.1502171429892313
sample_1_ref_1_2,1.1,"1,3",-1,0.1659872801264358
sample_1_ref_1_2,1.1,"1,4",-1,0.5027932423029663
sample_1_ref_1_2,1.1,"1,5",-1,0.2832415504329943
sample_1_ref_1_2,1.1,"1,6",-1,0.4652197658253274
sample_1_ref_1_2,1.1,"2,3",-1,0.1408819535260177
sample_1_ref_1_2,1.1,"2,4",-1,0.5243084651542776
sample_1_ref_1_2,1.1,"2,5",-1,0.2948880109826506
sample_1_ref_1_2,1.1,"2,6",-1,0.5192323157989038
sample_1_ref_1_2,1.1,"3,4",-1,0.5577222813368606
sample_1_ref_1_2,1.1,"3,5",-1,0.3475389485478548
sample_1_ref_1_2,1.1,"3,6",-1,0.5288479220175244
sample_1_ref_1_2,1.1,"4,5",-1,0.7967615581596473
sample_1_ref_1_2,1.1,"4,6",-1,0.4053740136147951
sample_1_ref_1_2,1.1,"5,6",-1,0.822456246266723
sample_1_ref_1_2,1.2,"1,2",-1,0.2120716075907992
sample_1_ref_1_2,1.2,"1,3",-1,0.71430794495281
sample_1_ref_1_2,1.2,"1,4",-1,0.2971593429521685
sample_1_ref_1_2,1.2,"1,5",-1,0.3451537220786072
sample_1_ref_1_2,1.2,"1,6",-1,0.3886879158110861
sample_1_ref_1_2,1.2,"2,3",-1,0.8450191996846288
sample_1_ref_1_2,1.2,"2,4",-1,0.3661492809804381
sample_1_ref_1_2,1.2,"2,5",-1,0.382509442805027
sample_1_ref_1_2,1.2,"2,6",-1,0.3572415663002573
sample_1_ref_1_2,1.2,"3,4",-1,0.6378495730147481
sample_1_ref_1_2,1.2,"3,5",-1,0.5838935358326015
sample_1_ref_1_2,1.2,"3,6",-1,0.554243764042837
sample_1_ref_1_2,1.2,"4,5",-1,0.4782049995758583
sample_1_ref_1_2,1.2,"4,6",-1,0.4797988784816711
sample_1_ref_1_2,1.2,"5,6",-1,0.6637383635340088
sample_1_ref_1_2,1.3,"1,2",-1,0.2527744517144937
sample_1_ref_1_2,1.3,"1,3",-1,0.7374032642988375
sample_1_ref_1_2,1.3,"1,4",-1,0.2931973549260072
sample_1_ref_1_2,1.3,"1,5",-1,0.3003321432219957
sample_1_ref_1_2,1.3,"1,6",-1,0.4095492609619544
sample_1_ref_1_2,1.3,"2,3",-1,0.8827971456810861
sample_1_ref_1_2,1.3,"2,4",-1,0.4071559112843442
sample_1_ref_1_2,1.3,"2,5",-1,0.4241849001096751
sample_1_ref_1_2,1.3,"2,6",-1,0.4545448901562461
sample_1_ref_1_2,1.3,"3,4",-1,0.6559433500315957
sample_1_ref_1_2,1.3,"3,5",-1,0.5382975173606384
sample_1_ref_1_2,1.3,"3,6",-1,0.501921313425811
sample_1_ref_1_2,1.3,"4,5",-1,0.4510169851965576
sample_1_ref_1_2,1.3,"4,6",-1,0.4886352173748576
sample_1_ref_1_2,1.3,"5,6",-1,0.5516024710361332
sample_1_ref_1_2,1.4,"1,2",-1,0.2314457670650798
sample_1_ref_1_2,1.4,"1,3",-1,0.7760059632861693
sample_1_ref_1_2,1.4,"1,4",-1,0.5926844420271469
sample_1_ref_1_2,1.4,"1,5",-1,0.5558019629711138
sample_1_ref_1_2,1.4,"1,6",-1,0.4939912274068727
sample_1_ref_1_2,1.4,"2,3",-1,0.8732340610528772
sample_1_ref_1_2,1.4,"2,4",-1,0.6012079208664628
sample_1_ref_1_2,1.4,"2,5",-1,0.5897322748626632
sample_1_ref_1_2,1.4,"2,6",-1,0.6129719817090022
sample_1_ref_1_2,1.4,"3,4",-1,0.3461245496053209
sample_1_ref_1_2,1.4,"3,5",-1,0.3999260148957042
sample_1_ref_1_2,1.4,"3,6",-1,0.5012766624957953
sample_1_ref_1_2,1.4,"4,5",-1,0.4854084839945576
sample_1_ref_1_2,1.4,"4,6",-1,0.6572209109138479
sample_1_ref_1_2,1.4,"5,6",-1,0.6485089062758318
sample_1_ref_1_2,1.5,"1,2",-1,0.7896260370540975
sample_1_ref_1_2,1.5,"1,3",-1,0.4428451109436622
sample_1_ref_1_2,1.5,"1,4",-1,0.6175028747853211
sample_1_ref_1_2,1.5,"1,5",-1,0.4234988607802082
sample_1_ref_1_2,1.5,"1,6",-1,0.4982868546016268
sample_1_ref_1_2,1.5,"2,3",-1,0.8667339866659973
sample_1_ref_1_2,1.5,"2,4",-1,0.6128903176047407
sample_1_ref_1_2,1.5,"2,5",-1,0.7405403242785331
sample_1_ref_1_2,1.5,"2,6",-1,0.6516477105759124
sample_1_ref_1_2,1.5,"3,4",-1,0.7540374505780673
sample_1_ref_1_2,1.5,"3,5",-1,0.580230157517683
sample_1_ref_1_2,1.5,"3,6",-1,0.6372448845539366
sample_1_ref_1_2,1.5,"4,5",-1,0.7516753290389633
sample_1_ref_1_2,1.5,"4,6",-1,0.8272187969848587
sample_1_ref_1_2,1.5,"5,6",-1,0.5916421115428578
sample_1_ref_1_2,1.6,"1,2",-1,0.6652133157797018
sample_1_ref_1_2,1.6,"1,3",-1,0.5985587873712397
sample_1_ref_1_2,1.6,"1,4",-1,0.3707256547522392
sample_1_ref_1_2,1.6,"1,5",-1,0.4341074179448529
sample_1_ref_1_2,1.6,"1,6",-1,0.5004609660956812
sample_1_ref_1_2,1.6,"2,3",-1,0.1915318440793617
sample_1_ref_1_2,1.6,"2,4",-1,0.8143846218021185
sample_1_ref_1_2,1.6,"2,5",-1,0.8010122443492117
sample_1_ref_1_2,1.6,"2,6",-1,0.8281526675241075
sample_1_ref_1_2,1.6,"3,4",-1,0.8391489138614178
sample_1_ref_1_2,1.6,"3,5",-1,0.7976292898769918
sample_1_ref_1_2,1.6,"3,6",-1,0.8102904886154371
sample_1_ref_1_2,1.6,"4,5",-1,0.4477294244757709
sample_1_ref_1_2,1.6,"4,6",-1,0.4944557881570908
sample_1_ref_1_2,1.6,"5,6",-1,0.5227240363540696
sample_1_ref_1_2,1.7,"1,2",-1,0.2035907788163929
sample_1_ref_1_2,1.7,"1,3",-1,0.3033755528115161
sample_1_ref_1_2,1.7,"1,4",-1,0.4404418961590218
sample_1_ref_1_2,1.7,"1,5",-1,0.5911302851749798
sample_1_ref_1_2,1.7,"1,6",-1,0.5691639016538178
sample_1_ref_1_2,1.7,"2,3",-1,0.1285782511287332
sample_1_ref_1_2,1.7,"2,4",-1,0.401949835101821
sample_1_ref_1_2,1.7,"2,5",-1,0.6030082548669579
sample_1_ref_1_2,1.7,"2,6",-1,0.4365497603446328
sample_1_ref_1_2,1.7,"3,4",-1,0.3230181399797568
sample_1_ref_1_2,1.7,"3,5",-1,0.5835795438136906
sample_1_ref_1_2,1.7,"3,6",-1,0.4826821013077946
sample_1_ref_1_2,1.7,"4,5",-1,0.7863669099422518
sample_1_ref_1_2,1.7,"4,6",-1,0.7291157221933365
sample_1_ref_1_2,1.7,"5,6",-1,0.5971294836613975
sample_1_ref_1_2,1.8,"1,2",-1,0.5895818541680182
sample_1_ref_1_2,1.8,"1,3",-1,0.529765787377258
sample_1_ref_1_2,1.8,"1,4",-1,0.5238684087032347
sample_1_ref_1_2,1.8,"1,5",-1,0.4426180934782595
sample_1_ref_1_2,1.8,"1,6",-1,0.4729319998968858
sample_1_ref_1_2,1.8,"2,3",-1,0.8762785348496692
sample_1_ref_1_2,1.8,"2,4",-1,0.7737318189975111
sample_1_ref_1_2,1.8,"2,5",-1,0.8169514305158562
sample_1_ref_1_2,1.8,"2,6",-1,0.8390384456366434
sample_1_ref_1_2,1.8,"3,4",-1,0.7907944168665771
sample_1_ref_1_2,1.8,"3,5",-1,0.8492031203401803
sample_1_ref_1_2,1.8,"3,6",-1,0.8059922787807231
sample_1_ref_1_2,1.8,"4,5",-1,0.7598725223703977
sample_1_ref_1_2,1.8,"4,6",-1,0.5454002158584779
sample_1_ref_1_2,1.8,"5,6",-1,0.8571409717800954
sample_1_ref_1_2,1.9,"1,2",-1,0.6447977859304573
sample_1_ref_1_2,1.9,"1,3",-1,0.5316644709846553
sample_1_ref_1_2,1.9,"1,4",-1,0.3482114620545665
sample_1_ref_1_2,1.9,"1,5",-1,0.5852750624470494
sample_1_ref_1_2,1.9,"1,6",-1,0.5831778924898517
sample_1_ref_1_2,1.9,"2,3",-1,0.2094068592198827
sample_1_ref_1_2,1.9,"2,4",-1,0.7835154321070393
sample_1_ref_1_2,1.9,"2,5",-1,0.8507905063804448
sample_1_ref_1_2,1.9,"2,6",-1,0.7988009388510562
sample_1_ref_1_2,1.9,"3,4",-1,0.8193323591904227
sample_1_ref_1_2,1.9,"3,5",-1,0.8336939374891544
sample_1_ref_1_2,1.9,"3,6",-1,0.8230295173210188
sample_1_ref_1_2,1.9,"4,5",-1,0.6783077085219538
sample_1_ref_1_2,1.9,"4,6",-1,0.711886138090092
sample_1_ref_1_2,1.9,"5,6",-1,0.623610264131892
sample_1_ref_1_2,2.0,"1,2",-1,0.4920714693989211
sample_1_ref_1_2,2.0,"1,3",-1,0.561648598323797
sample_1_ref_1_2,2.0,"1,4",-1,0.451090123395347
sample_1_ref_1_2,2.0,"1,5",-1,0.4446697704383189
sample_1_ref_1_2,2.0,"1,6",-1,0.4734652407195057
sample_1_ref_1_2,2.0,"2,3",-1,0.8534391648677006
sample_1_ref_1_2,2.0,"2,4",-1,0.7267848288854234
sample_1_ref_1_2,2.0,"2,5",-1,0.8341482872658671
sample_1_ref_1_2,2.0,"2,6",-1,0.8283007659617448
sample_1_ref_1_2,2.0,"3,4",-1,0.8171235314481643
sample_1_ref_1_2,2.0,"3,5",-1,0.8341082470634359
sample_1_ref_1_2,2.0,"3,6",-1,0.7466324270550145
sample_1_ref_1_2,2.0,"4,5",-1,0.6961547861030095
sample_1_ref_1_2,2.0,"4,6",-1,0.8015198700370656
sample_1_ref_1_2,2.0,"5,6",-1,0.8320605092623695
sample_1_ref_1_2,2.1,"1,2",-1,0.2976675939886001
sample_1_ref_1_2,2.1,"1,3",-1,0.2848589218766162
sample_1_ref_1_2,2.1,"1,4",-1,0.4320817380537446
sample_1_ref_1_2,2.1,"1,5",-1,0.4970302119958858
sample_1_ref_1_2,2.1,"1,6",-1,0.5175670758419784
sample_1_ref_1_2,2.1,"2,3",-1,0.16329151319372
sample_1_ref_1_2,2.1,"2,4",-1,0.3444021907425836
sample_1_ref_1_2,2.1,"2,5",-1,0.3907572516424143
sample_1_ref_1_2,2.1,"2,6",-1,0.3532502407220533
sample_1_ref_1_2,2.1,"3,4",-1,0.2589837881742983
sample_1_ref_1_2,2.1,"3,5",-1,0.3731329986316596
sample_1_ref_1_2,2.1,"3,6",-1,0.3715909993245784
sample_1_ref_1_2,2.1,"4,5",-1,0.6303064940959173
sample_1_ref_1_2,2.1,"4,6",-1,0.676852548760795
sample_1_ref_1_2,2.1,"5,6",-1,0.7540354054104222
sample_1_ref_1_2,2.2,"1,2",-1,0.4790857865019823
sample_1_ref_1_2,2.2,"1,3",-1,0.4415872494369588
sample_1_ref_1_2,2.2,"1,4",-1,0.3217108871869302
sample_1_ref_1_2,2.2,"1,5",-1,0.5481990144258436
sample_1_ref_1_2,2.2,"1,6",-1,0.397030138677056
sample_1_ref_1_2,2.2,"2,3",-1,0.1721428299233211
sample_1_ref_1_2,2.2,"2,4",-1,0.5367436395845984
sample_1_ref_1_2,2.2,"2,5",-1,0.7129692046448365
sample_1_ref_1_2,2.2,"2,6",-1,0.567354859966492
sample_1_ref_1_2,2.2,"3,4",-1,0.6290054277996755
sample_1_ref_1_2,2.2,"3,5",-1,0.8376426052351408
sample_1_ref_1_2,2.2,"3,6",-1,0.7016070516672225
sample_1_ref_1_2,2.2,"4,5",-1,0.7319680011360552
sample_1_ref_1_2,2.2,"4,6",-1,0.5055214810982116
sample_1_ref_1_2,2.2,"5,6",-1,0.8254282248643919
sample_1_ref_1_2,2.3,"1,2",-1,0.3786875530848842
sample_1_ref_1_2,2.3,"1,3",-1,0.6997673933196219
sample_1_ref_1_2,2.3,"1,4",-1,0.4650500669953538
sample_1_ref_1_2,2.3,"1,5",-1,0.6055485291633979
sample_1_ref_1_2,2.3,"1,6",-1,0.536903040178948
sample_1_ref_1_2,2.3,"2,3",-1,0.831167476404415
sample_1_ref_1_2,2.3,"2,4",-1,0.5138493054169359
sample_1_ref_1_2,2.3,"2,5",-1,0.6352271372394614
sample_1_ref_1_2,2.3,"2,6",-1,0.6141860165901922
sample_1_ref_1_2,2.3,"3,4",-1,0.7018595217301218
sample_1_ref_1_2,2.3,"3,5",-1,0.6168846314111524
sample_1_ref_1_2,2.3,"3,6",-1,0.6589522427985486
sample_1_ref_1_2,2.3,"4,5",-1,0.7714088944918409
sample_1_ref_1_2,2.3,"4,6",-1,0.7130793424491269
sample_1_ref_1_2,2.3,"5,6",-1,0.7603575214814413
sample_1_ref_1_2,2.4,"1,2",-1,0.4518956563537482
sample_1_ref_1_2,2.4,"1,3",-1,0.6050803459628509
sample_1_ref_1_2,2.4,"1,4",-1,0.5915337999110701
sample_1_ref_1_2,2.4,"1,5",-1,0.4095967409532161
sample_1_ref_1_2,2.4,"1,6",-1,0.4578710658596412
sample_1_ref_1_2,2.4,"2,3",-1,0.8568743548684661
sample_1_ref_1_2,2.4,"2,4",-1,0.833772511749764
sample_1_ref_1_2,2.4,"2,5",-1,0.8091860131969313
sample_1_ref_1_2,2.4,"2,6",-1,0.7213523863486329
sample_1_ref_1_2,2.4,"3,4",-1,0.7209332872086748
sample_1_ref_1_2,2.4,"3,5",-1,0.788249029551677
sample_1_ref_1_2,2.4,"3,6",-1,0.7966873675234236
sample_1_ref_1_2,2.4,"4,5",-1,0.6974126688808259
sample_1_ref_1_2,2.4,"4,6",-1,0.8052494300074283
sample_1_ref_1_2,2.4,"5,6",-1,0.6319365447799431
sample_1_ref_1_2,2.5,"1,2",-1,0.7756513008602504
sample_1_ref_1_2,2.5,"1,3",-1,0.7473059195365765
sample_1_ref_1_2,2.5,"1,4",-1,0.4770138674429171
sample_1_ref_1_2,2.5,"1,5",-1,0.6087570539924568
sample_1_ref_1_2,2.5,"1,6",-1,0.6260158523019325
sample_1_ref_1_2,2.5,"2,3",-1,0.2147632099746485
sample_1_ref_1_2,2.5,"2,4",-1,0.6917293806272494
sample_1_ref_1_2,2.5,"2,5",-1,0.5927941828492876
sample_1_ref_1_2,2.5,"2,6",-1,0.5953981744439265
sample_1_ref_1_2,2.5,"3,4",-1,0.7501744182506315
sample_1_ref_1_2,2.5,"3,5",-1,0.58662935750575
sample_1_ref_1_2,2.5,"3,6",-1,0.5810924052508017
sample_1_ref_1_2,2.5,"4,5",-1,0.7258316518365542
sample_1_ref_1_2,2.5,"4,6",-1,0.709668921473316
sample_1_ref_1_2,2.5,"5,6",-1,0.7548063729527162
sample_1_ref_1_2,2.6,"1,2",-1,0.7128713893434985
sample_1_ref_1_2,2.6,"1,3",-1,0.594663959040027
sample_1_ref_1_2,2.6,"1,4",-1,0.3539686698145985
sample_1_ref_1_2,2.6,"1,5",-1,0.503196151788846
sample_1_ref_1_2,2.6,"1,6",-1,0.4411265659898929
sample_1_ref_1_2,2.6,"2,3",-1,0.2989293802603901
sample_1_ref_1_2,2.6,"2,4",-1,0.86745820959843
sample_1_ref_1_2,2.6,"2,5",-1,0.7589399352613817
sample_1_ref_1_2,2.6,"2,6",-1,0.7611096430807233
sample_1_ref_1_2,2.6,"3,4",-1,0.8642616757972097
sample_1_ref_1_2,2.6,"3,5",-1,0.7768591086878296
sample_1_ref_1_2,2.6,"3,6",-1,0.768514237573228
sample_1_ref_1_2,2.6,"4,5",-1,0.6935142406065835
sample_1_ref_1_2,2.6,"4,6",-1,0.6211132535911591
sample_1_ref_1_2,2.6,"5,6",-1,0.8295918437013154
sample_1_ref_1_2,2.7,"1,2",-1,0.2174480783608785
sample_1_ref_1_2,2.7,"1,3",-1,0.3068016599733084
sample_1_ref_1_2,2.7,"1,4",-1,0.4003010055023838
sample_1_ref_1_2,2.7,"1,5",-1,0.6072810146228304
