sample,bin_size,PC_pair,TH,RMSE
sample_1_ref_6_10,0.1,"1,2",-1,0.07677886567469341
sample_1_ref_6_10,0.1,"1,3",-1,0.6973177968647419
sample_1_ref_6_10,0.1,"1,4",-1,0.5090009169006008
sample_1_ref_6_10,0.1,"1,5",-1,0.48352392136463057
sample_1_ref_6_10,0.1,"1,6",-1,0.38499558879778195
sample_1_ref_6_10,0.1,"2,3",-1,0.8451415104806351
sample_1_ref_6_10,0.1,"2,4",-1,0.6159102799905459
sample_1_ref_6_10,0.1,"2,5",-1,0.5935453935151301
sample_1_ref_6_10,0.1,"2,6",-1,0.4401043654129335
sample_1_ref_6_10,0.1,"3,4",-1,0.0882450206913507
sample_1_ref_6_10,0.1,"3,5",-1,0.21882333969445353
sample_1_ref_6_10,0.1,"3,6",-1,0.24497939514264652
sample_1_ref_6_10,0.1,"4,5",-1,0.1804387331480072
sample_1_ref_6_10,0.1,"4,6",-1,0.4052072233073639
sample_1_ref_6_10,0.1,"5,6",-1,0.5206917204318136
sample_1_ref_6_10,0.2,"1,2",-1,0.11017402816704558
sample_1_ref_6_10,0.2,"1,3",-1,0.14318705902496184
sample_1_ref_6_10,0.2,"1,4",-1,0.1589531339747385
sample_1_ref_6_10,0.2,"1,5",-1,0.15387149778205694
sample_1_ref_6_10,0.2,"1,6",-1,0.3491954475138545
sample_1_ref_6_10,0.2,"2,3",-1,0.12663044146045901
sample_1_ref_6_10,0.2,"2,4",-1,0.2690287622645694
sample_1_ref_6_10,0.2,"2,5",-1,0.16411543606897752
sample_1_ref_6_10,0.2,"2,6",-1,0.4040416498447138
sample_1_ref_6_10,0.2,"3,4",-1,0.15751320037511912
sample_1_ref_6_10,0.2,"3,5",-1,0.2838987035392466
sample_1_ref_6_10,0.2,"3,6",-1,0.5733869628487697
sample_1_ref_6_10,0.2,"4,5",-1,0.25777396361685834
sample_1_ref_6_10,0.2,"4,6",-1,0.6143461884284861
sample_1_ref_6_10,0.2,"5,6",-1,0.7043584702250953
sample_1_ref_6_10,0.3,"1,2",-1,0.6300909791013813
sample_1_ref_6_10,0.3,"1,3",-1,0.6683431987350291
sample_1_ref_6_10,0.3,"1,4",-1,0.4314512574365186
sample_1_ref_6_10,0.3,"1,5",-1,0.1453674254352725
sample_1_ref_6_10,0.3,"1,6",-1,0.1707215145032672
sample_1_ref_6_10,0.3,"2,3",-1,0.1355275563833491
sample_1_ref_6_10,0.3,"2,4",-1,0.27342558080444807
sample_1_ref_6_10,0.3,"2,5",-1,0.6471595561951838
sample_1_ref_6_10,0.3,"2,6",-1,0.5259110795221625
sample_1_ref_6_10,0.3,"3,4",-1,0.19424872466191984
sample_1_ref_6_10,0.3,"3,5",-1,0.6433429028524841
sample_1_ref_6_10,0.3,"3,6",-1,0.5787268984070673
sample_1_ref_6_10,0.3,"4,5",-1,0.7169523082996802
sample_1_ref_6_10,0.3,"4,6",-1,0.6032603547046769
sample_1_ref_6_10,0.3,"5,6",-1,0.49847396323042026
sample_1_ref_6_10,0.4,"1,2",-1,0.5176746391036932
sample_1_ref_6_10,0.4,"1,3",-1,0.41939782808881404
sample_1_ref_6_10,0.4,"1,4",-1,0.44330830873045723
sample_1_ref_6_10,0.4,"1,5",-1,0.15194325186210456
sample_1_ref_6_10,0.4,"1,6",-1,0.18214255967572154
sample_1_ref_6_10,0.4,"2,3",-1,0.13171042601936722
sample_1_ref_6_10,0.4,"2,4",-1,0.726732743420828
sample_1_ref_6_10,0.4,"2,5",-1,0.7713693162565721
sample_1_ref_6_10,0.4,"2,6",-1,0.8228350841881309
sample_1_ref_6_10,0.4,"3,4",-1,0.7569053767222693
sample_1_ref_6_10,0.4,"3,5",-1,0.796205851873505
sample_1_ref_6_10,0.4,"3,6",-1,0.8232818105657131
sample_1_ref_6_10,0.4,"4,5",-1,0.7450487160536492
sample_1_ref_6_10,0.4,"4,6",-1,0.6435702253710186
sample_1_ref_6_10,0.4,"5,6",-1,0.319683511690753
sample_1_ref_6_10,0.5,"1,2",-1,0.6924580267490443
sample_1_ref_6_10,0.5,"1,3",-1,0.6240577045054844
sample_1_ref_6_10,0.5,"1,4",-1,0.261824254131603
