sample,bin_size,PC_pair,TH,RMSE
sample_1_ref_1_2,0.1,"1,2",-1,0.0788812502707375
sample_1_ref_1_2,0.1,"1,3",-1,0.2204450978958408
sample_1_ref_1_2,0.1,"1,4",-1,0.1722200280557102
sample_1_ref_1_2,0.1,"1,5",-1,0.0794996688343595
sample_1_ref_1_2,0.1,"1,6",-1,0.1079434635561463
sample_1_ref_1_2,0.1,"2,3",-1,0.0803109026884871
sample_1_ref_1_2,0.1,"2,4",-1,0.138387662750559
sample_1_ref_1_2,0.1,"2,5",-1,0.1558813066804506
sample_1_ref_1_2,0.1,"2,6",-1,0.2085556175679668
sample_1_ref_1_2,0.1,"3,4",-1,0.0865104581435465
sample_1_ref_1_2,0.1,"3,5",-1,0.096720170276195
sample_1_ref_1_2,0.1,"3,6",-1,0.1792849275837209
sample_1_ref_1_2,0.1,"4,5",-1,0.1326146742108042
sample_1_ref_1_2,0.1,"4,6",-1,0.1666473316376993
sample_1_ref_1_2,0.1,"5,6",-1,0.1785488379090278
sample_1_ref_1_2,0.2,"1,2",-1,0.1436317928006856
sample_1_ref_1_2,0.2,"1,3",-1,0.1586487284729956
sample_1_ref_1_2,0.2,"1,4",-1,0.2242400603761948
sample_1_ref_1_2,0.2,"1,5",-1,0.0910126904940789
sample_1_ref_1_2,0.2,"1,6",-1,0.3757310751880429
sample_1_ref_1_2,0.2,"2,3",-1,0.1237484435760431
sample_1_ref_1_2,0.2,"2,4",-1,0.1437911064487518
sample_1_ref_1_2,0.2,"2,5",-1,0.2621449310584292
sample_1_ref_1_2,0.2,"2,6",-1,0.5780967851680732
sample_1_ref_1_2,0.2,"3,4",-1,0.1218439596270768
sample_1_ref_1_2,0.2,"3,5",-1,0.1077760314034237
sample_1_ref_1_2,0.2,"3,6",-1,0.3779513004958237
sample_1_ref_1_2,0.2,"4,5",-1,0.1563964220468672
sample_1_ref_1_2,0.2,"4,6",-1,0.5921858224067452
sample_1_ref_1_2,0.2,"5,6",-1,0.6378754468789745
sample_1_ref_1_2,0.3,"1,2",-1,0.7383548832264569
sample_1_ref_1_2,0.3,"1,3",-1,0.0889369687192701
sample_1_ref_1_2,0.3,"1,4",-1,0.1657915657588395
sample_1_ref_1_2,0.3,"1,5",-1,0.1105935479245708
sample_1_ref_1_2,0.3,"1,6",-1,0.3555389741848762
sample_1_ref_1_2,0.3,"2,3",-1,0.8400893727480205
sample_1_ref_1_2,0.3,"2,4",-1,0.7538767358334252
sample_1_ref_1_2,0.3,"2,5",-1,0.6369917337691394
sample_1_ref_1_2,0.3,"2,6",-1,0.3520359995230238
sample_1_ref_1_2,0.3,"3,4",-1,0.1609942244880127
sample_1_ref_1_2,0.3,"3,5",-1,0.2199457157864754
sample_1_ref_1_2,0.3,"3,6",-1,0.4366087409639408
sample_1_ref_1_2,0.3,"4,5",-1,0.3150817441283612
sample_1_ref_1_2,0.3,"4,6",-1,0.5751287278348463
sample_1_ref_1_2,0.3,"5,6",-1,0.6170416446022093
sample_1_ref_1_2,0.4,"1,2",-1,0.1345753013621514
sample_1_ref_1_2,0.4,"1,3",-1,0.6496114746576128
sample_1_ref_1_2,0.4,"1,4",-1,0.19690937928744
sample_1_ref_1_2,0.4,"1,5",-1,0.1235164411676845
sample_1_ref_1_2,0.4,"1,6",-1,0.3454370414076591
sample_1_ref_1_2,0.4,"2,3",-1,0.8240081123889311
sample_1_ref_1_2,0.4,"2,4",-1,0.2552627165170721
sample_1_ref_1_2,0.4,"2,5",-1,0.2542909514561383
sample_1_ref_1_2,0.4,"2,6",-1,0.4185388694392828
sample_1_ref_1_2,0.4,"3,4",-1,0.730538294715547
sample_1_ref_1_2,0.4,"3,5",-1,0.6712472593464399
sample_1_ref_1_2,0.4,"3,6",-1,0.4543783669921449
sample_1_ref_1_2,0.4,"4,5",-1,0.1772482921411119
sample_1_ref_1_2,0.4,"4,6",-1,0.6374167792990779
sample_1_ref_1_2,0.4,"5,6",-1,0.6378670474281781
sample_1_ref_1_2,0.5,"1,2",-1,0.739023210295809
sample_1_ref_1_2,0.5,"1,3",-1,0.6294061529409188
sample_1_ref_1_2,0.5,"1,4",-1,0.2253888675295695
sample_1_ref_1_2,0.5,"1,5",-1,0.1575439437811241
