sample,bin_size,PC_pair,TH,RMSE
sample_2_real_1,0.1,"1,2",-1,0.7883757549852669
sample_2_real_1,0.1,"1,3",-1,0.8120674049120344
sample_2_real_1,0.1,"1,4",-1,0.781249530975976
sample_2_real_1,0.1,"1,5",-1,0.7710567260517408
sample_2_real_1,0.1,"1,6",-1,0.7861969000457547
sample_2_real_1,0.1,"2,3",-1,0.8231088285210494
sample_2_real_1,0.1,"2,4",-1,0.7393715099817441
sample_2_real_1,0.1,"2,5",-1,0.8102556583479358
sample_2_real_1,0.1,"2,6",-1,0.8230818707643119
sample_2_real_1,0.1,"3,4",-1,0.7850754205575858
sample_2_real_1,0.1,"3,5",-1,0.8347714085123159
sample_2_real_1,0.1,"3,6",-1,0.8406237353371036
sample_2_real_1,0.1,"4,5",-1,0.7971797147193319
sample_2_real_1,0.1,"4,6",-1,0.7775098470995416
sample_2_real_1,0.1,"5,6",-1,0.8010102639241741
sample_2_real_1,0.2,"1,2",-1,0.7811943476132358
sample_2_real_1,0.2,"1,3",-1,0.7999514903350159
sample_2_real_1,0.2,"1,4",-1,0.774507471368331
sample_2_real_1,0.2,"1,5",-1,0.7647644347412673
sample_2_real_1,0.2,"1,6",-1,0.7831182057288355
sample_2_real_1,0.2,"2,3",-1,0.8031132434374261
sample_2_real_1,0.2,"2,4",-1,0.7484379492126407
sample_2_real_1,0.2,"2,5",-1,0.8232746773995177
sample_2_real_1,0.2,"2,6",-1,0.8316216009921008
sample_2_real_1,0.2,"3,4",-1,0.7745688560449836
sample_2_real_1,0.2,"3,5",-1,0.87967059575671
sample_2_real_1,0.2,"3,6",-1,0.8431137044343978
sample_2_real_1,0.2,"4,5",-1,0.7818516767148406
sample_2_real_1,0.2,"4,6",-1,0.767376269275068
sample_2_real_1,0.2,"5,6",-1,0.7931064302313807
sample_2_real_1,0.3,"1,2",-1,0.8027638007247156
sample_2_real_1,0.3,"1,3",-1,0.8022835586054387
sample_2_real_1,0.3,"1,4",-1,0.7574523238814824
sample_2_real_1,0.3,"1,5",-1,0.7612998620158037
sample_2_real_1,0.3,"1,6",-1,0.7811985137722309
sample_2_real_1,0.3,"2,3",-1,0.8082734618215193
sample_2_real_1,0.3,"2,4",-1,0.8300897189771422
sample_2_real_1,0.3,"2,5",-1,0.851504957452419
sample_2_real_1,0.3,"2,6",-1,0.8231873123052301
sample_2_real_1,0.3,"3,4",-1,0.7882805670219399
sample_2_real_1,0.3,"3,5",-1,0.8595735835738301
sample_2_real_1,0.3,"3,6",-1,0.8312040903888098
sample_2_real_1,0.3,"4,5",-1,0.7678390741959085
sample_2_real_1,0.3,"4,6",-1,0.754553229066005
sample_2_real_1,0.3,"5,6",-1,0.8180266394196938
sample_2_real_1,0.4,"1,2",-1,0.7740217931093151
sample_2_real_1,0.4,"1,3",-1,0.8033862892987983
sample_2_real_1,0.4,"1,4",-1,0.7736828249601146
sample_2_real_1,0.4,"1,5",-1,0.7635462903559729
sample_2_real_1,0.4,"1,6",-1,0.782861072447175
sample_2_real_1,0.4,"2,3",-1,0.8255448593012554
sample_2_real_1,0.4,"2,4",-1,0.7487496102672304
sample_2_real_1,0.4,"2,5",-1,0.8059302551439291
sample_2_real_1,0.4,"2,6",-1,0.82831781775232
sample_2_real_1,0.4,"3,4",-1,0.7981817956039239
sample_2_real_1,0.4,"3,5",-1,0.8613991653260895
sample_2_real_1,0.4,"3,6",-1,0.8412488868715751
sample_2_real_1,0.4,"4,5",-1,0.7776519830145665
sample_2_real_1,0.4,"4,6",-1,0.7617533656537998
sample_2_real_1,0.4,"5,6",-1,0.7896488540328166
sample_2_real_1,0.5,"1,2",-1,0.7712825644646404
sample_2_real_1,0.5,"1,3",-1,0.7975044505968073
sample_2_real_1,0.5,"1,4",-1,0.7504605254196353
sample_2_real_1,0.5,"1,5",-1,0.7564610100285064
sample_2_real_1,0.5,"1,6",-1,0.7706612875349365
sample_2_real_1,0.5,"2,3",-1,0.8286983048101734
sample_2_real_1,0.5,"2,4",-1,0.7517729136354677
sample_2_real_1,0.5,"2,5",-1,0.8126162066216263
sample_2_real_1,0.5,"2,6",-1,0.8254110294278738
sample_2_real_1,0.5,"3,4",-1,0.7989723943152911
sample_2_real_1,0.5,"3,5",-1,0.8711113548752102
sample_2_real_1,0.5,"3,6",-1,0.8447284583036151
sample_2_real_1,0.5,"4,5",-1,0.7842357273710057
sample_2_real_1,0.5,"4,6",-1,0.7904137130821937
sample_2_real_1,0.5,"5,6",-1,0.8026852047726191
sample_2_real_1,0.6,"1,2",-1,0.7945479380531263
sample_2_real_1,0.6,"1,3",-1,0.7912239201893622
sample_2_real_1,0.6,"1,4",-1,0.774038822553244
sample_2_real_1,0.6,"1,5",-1,0.7695149972705906
sample_2_real_1,0.6,"1,6",-1,0.7710124681840467
sample_2_real_1,0.6,"2,3",-1,0.8010811294707811
sample_2_real_1,0.6,"2,4",-1,0.8435996301267078
sample_2_real_1,0.6,"2,5",-1,0.8602528989191477
sample_2_real_1,0.6,"2,6",-1,0.844525916160877
sample_2_real_1,0.6,"3,4",-1,0.8021961817885642
sample_2_real_1,0.6,"3,5",-1,0.8495266076597888
sample_2_real_1,0.6,"3,6",-1,0.8339756392381718
sample_2_real_1,0.6,"4,5",-1,0.751794168054282
sample_2_real_1,0.6,"4,6",-1,0.778525559948101
sample_2_real_1,0.6,"5,6",-1,0.8262004951686851
sample_2_real_1,0.7,"1,2",-1,0.7563218535767976
sample_2_real_1,0.7,"1,3",-1,0.7963795937712279
sample_2_real_1,0.7,"1,4",-1,0.7749386295995536
sample_2_real_1,0.7,"1,5",-1,0.7629865745961535
sample_2_real_1,0.7,"1,6",-1,0.7568783425431985
sample_2_real_1,0.7,"2,3",-1,0.8347495767594939
sample_2_real_1,0.7,"2,4",-1,0.8454526350296856
sample_2_real_1,0.7,"2,5",-1,0.7997203140688305
sample_2_real_1,0.7,"2,6",-1,0.8282183674987333
sample_2_real_1,0.7,"3,4",-1,0.7707677065306127
sample_2_real_1,0.7,"3,5",-1,0.8389015150127641
sample_2_real_1,0.7,"3,6",-1,0.846084584890716
sample_2_real_1,0.7,"4,5",-1,0.8071818814861528
sample_2_real_1,0.7,"4,6",-1,0.768792934604024
sample_2_real_1,0.7,"5,6",-1,0.8216155614913927
sample_2_real_1,0.8,"1,2",-1,0.8119463409328732
sample_2_real_1,0.8,"1,3",-1,0.7754843448171638
sample_2_real_1,0.8,"1,4",-1,0.7541122120735322
sample_2_real_1,0.8,"1,5",-1,0.7455606014260872
sample_2_real_1,0.8,"1,6",-1,0.754675898823051
sample_2_real_1,0.8,"2,3",-1,0.8432262132638244
sample_2_real_1,0.8,"2,4",-1,0.8536315535160346
sample_2_real_1,0.8,"2,5",-1,0.7815624900104237
sample_2_real_1,0.8,"2,6",-1,0.8098626554661306
sample_2_real_1,0.8,"3,4",-1,0.7876735472963194
sample_2_real_1,0.8,"3,5",-1,0.8763754379815007
sample_2_real_1,0.8,"3,6",-1,0.8717699323123645
sample_2_real_1,0.8,"4,5",-1,0.7565601530608844
sample_2_real_1,0.8,"4,6",-1,0.8266445391203104
sample_2_real_1,0.8,"5,6",-1,0.7733334647584073
sample_2_real_1,0.9,"1,2",-1,0.791870315120507
sample_2_real_1,0.9,"1,3",-1,0.780869436040735
sample_2_real_1,0.9,"1,4",-1,0.7886189985487648
sample_2_real_1,0.9,"1,5",-1,0.7570194515408322
sample_2_real_1,0.9,"1,6",-1,0.7420403177457996
sample_2_real_1,0.9,"2,3",-1,0.8577687076971141
sample_2_real_1,0.9,"2,4",-1,0.7508780608555128
sample_2_real_1,0.9,"2,5",-1,0.822664461651709
sample_2_real_1,0.9,"2,6",-1,0.7794389514062698
sample_2_real_1,0.9,"3,4",-1,0.755926755602013
sample_2_real_1,0.9,"3,5",-1,0.787773660019539
sample_2_real_1,0.9,"3,6",-1,0.7576313518555855
sample_2_real_1,0.9,"4,5",-1,0.7696343596590628
sample_2_real_1,0.9,"4,6",-1,0.8091412633035976
sample_2_real_1,0.9,"5,6",-1,0.8199444466077931
sample_2_real_1,1.0,"1,2",-1,0.8327962192063632
