sample,bin_size,PC_pair,TH,RMSE
sample_3_real_1,0.1,"1,2",-1,0.7659690380304494
sample_3_real_1,0.1,"1,3",-1,0.7889109489100938
sample_3_real_1,0.1,"1,4",-1,0.8100244664020055
sample_3_real_1,0.1,"1,5",-1,0.7908281303888424
sample_3_real_1,0.1,"1,6",-1,0.8032889768180403
sample_3_real_1,0.1,"2,3",-1,0.7900756863946248
sample_3_real_1,0.1,"2,4",-1,0.7688482734102033
sample_3_real_1,0.1,"2,5",-1,0.7898858295884393
sample_3_real_1,0.1,"2,6",-1,0.8254268890264249
sample_3_real_1,0.1,"3,4",-1,0.7977449870248025
sample_3_real_1,0.1,"3,5",-1,0.8356634995999992
sample_3_real_1,0.1,"3,6",-1,0.8426146956182826
sample_3_real_1,0.1,"4,5",-1,0.8331096525191161
sample_3_real_1,0.1,"4,6",-1,0.8042925565277073
sample_3_real_1,0.1,"5,6",-1,0.7737474310341766
sample_3_real_1,0.2,"1,2",-1,0.7625159615282456
sample_3_real_1,0.2,"1,3",-1,0.7912945044690541
sample_3_real_1,0.2,"1,4",-1,0.8042977746010828
sample_3_real_1,0.2,"1,5",-1,0.7874389345290436
sample_3_real_1,0.2,"1,6",-1,0.8090013381289607
sample_3_real_1,0.2,"2,3",-1,0.7821206763034473
sample_3_real_1,0.2,"2,4",-1,0.7679991108883115
sample_3_real_1,0.2,"2,5",-1,0.7635058165653101
sample_3_real_1,0.2,"2,6",-1,0.8040451624879973
sample_3_real_1,0.2,"3,4",-1,0.8159770568332767
sample_3_real_1,0.2,"3,5",-1,0.8436407662428885
sample_3_real_1,0.2,"3,6",-1,0.8277904788165906
sample_3_real_1,0.2,"4,5",-1,0.8448280883396543
sample_3_real_1,0.2,"4,6",-1,0.8174754529335858
sample_3_real_1,0.2,"5,6",-1,0.7733427179624957
sample_3_real_1,0.3,"1,2",-1,0.7541600652835165
sample_3_real_1,0.3,"1,3",-1,0.7975908371847434
sample_3_real_1,0.3,"1,4",-1,0.7936804626483489
sample_3_real_1,0.3,"1,5",-1,0.7851069146206249
sample_3_real_1,0.3,"1,6",-1,0.8053871887070676
sample_3_real_1,0.3,"2,3",-1,0.7618956849208024
sample_3_real_1,0.3,"2,4",-1,0.7473118489712792
sample_3_real_1,0.3,"2,5",-1,0.7633203435834749
sample_3_real_1,0.3,"2,6",-1,0.7600727173537564
sample_3_real_1,0.3,"3,4",-1,0.8191459722108554
sample_3_real_1,0.3,"3,5",-1,0.8539213633795781
sample_3_real_1,0.3,"3,6",-1,0.872943133552916
sample_3_real_1,0.3,"4,5",-1,0.8228735596504243
sample_3_real_1,0.3,"4,6",-1,0.8539057557352226
sample_3_real_1,0.3,"5,6",-1,0.854986172134959
sample_3_real_1,0.4,"1,2",-1,0.7617384103822288
