,sample,bin_size,PC_pair,TH,RMSE
0,Sample_1,4.9,"4,5",-2,0.7980438720925961
1,Sample_1,1.35,"4,5",-1,0.826531094343039
2,Sample_1,2.3,"4,5",-1,0.7864644029658899
3,Sample_1,0.3,"4,5",-2,0.3214353567236842
4,Sample_1,5.0,"4,5",-3,0.6689031964096097
5,Sample_1,4.1,"4,5",-3,0.48037004053554305
6,Sample_1,1.0,"4,5",-3,0.3849430602508761
7,Sample_1,3.95,"4,5",-2,0.7560250548959798
8,Sample_1,1.4,"4,5",-1,0.8146153319938831
9,Sample_1,2.15,"4,5",-3,0.4294528097455495
10,Sample_1,2.95,"4,5",-2,0.7367412974526533
11,Sample_1,0.2,"4,5",-2,0.27679740092405813
12,Sample_1,2.0,"4,5",-2,0.6399271022285505
13,Sample_1,1.75,"4,5",-2,0.648216537119397
14,Sample_1,4.95,"4,5",-2,0.8070394786546117
15,Sample_1,3.05,"4,5",-1,0.8109790678838523
16,Sample_1,1.85,"4,5",-1,0.7988554763873394
17,Sample_1,3.6,"4,5",-1,0.7839360065771577
18,Sample_1,2.55,"4,5",-1,0.8193708912765593
19,Sample_1,2.45,"4,5",-3,0.7633816141719948
20,Sample_1,0.5,"4,5",-2,0.7961033812156691
21,Sample_1,2.55,"4,5",-3,0.8297691838734559
22,Sample_1,0.35,"4,5",-1,0.787697304093423
23,Sample_1,0.4,"4,5",-1,0.7768141472801284
24,Sample_1,0.7,"4,5",-3,0.784421020527704
25,Sample_1,4.6,"4,5",-2,0.7855665886771493
26,Sample_1,0.35,"4,5",-2,0.7917230856600168
27,Sample_1,1.45,"4,5",-3,0.7767129798970667
28,Sample_1,4.45,"4,5",-1,0.6490222731161964
29,Sample_1,2.75,"4,5",-1,0.7473536002417631
30,Sample_1,2.85,"4,5",-3,0.5989622596245016
31,Sample_1,3.9,"4,5",-3,0.4824852896668129
32,Sample_1,3.0,"4,5",-2,0.7313376199334534
33,Sample_1,4.0,"4,5",-3,0.8247425466138376
34,Sample_1,3.9,"4,5",-2,0.7540838806860137
35,Sample_1,2.35,"4,5",-1,0.708203269113467
36,Sample_1,3.55,"4,5",-1,0.7361740136883677
37,Sample_1,4.85,"4,5",-3,0.6612948355299904
38,Sample_1,1.25,"4,5",-3,0.8072193709145189
39,Sample_1,0.15,"4,5",-3,0.0
40,Sample_1,1.85,"4,5",-2,0.5389547640540565
41,Sample_1,0.8,"4,5",-2,0.7569618095423285
42,Sample_1,3.25,"4,5",-3,0.4705806509964822
43,Sample_1,2.7,"4,5",-1,0.6082235158879146
44,Sample_1,4.75,"4,5",-3,0.7074114211265676
45,Sample_1,2.1,"4,5",-2,0.6594241051659765
46,Sample_1,3.8,"4,5",-1,0.7192108786364156
47,Sample_1,1.05,"4,5",-1,0.585519022706545
48,Sample_1,2.05,"4,5",-1,0.8376787333524748
49,Sample_1,4.95,"4,5",-1,0.6624165341540983
50,Sample_1,1.35,"4,5",-2,0.4791739221037864
51,Sample_1,2.6,"4,5",-1,0.7628679661496296
52,Sample_1,1.5,"4,5",-1,0.7322308067402078
53,Sample_1,3.15,"4,5",-3,0.8354741714918839
54,Sample_1,2.95,"4,5",-3,0.7575994331908249
55,Sample_1,1.3,"4,5",-2,0.5180488056215261
56,Sample_1,3.7,"4,5",-2,0.7497975438083295
57,Sample_1,3.25,"4,5",-1,0.790911550847378
58,Sample_1,3.45,"4,5",-2,0.7085977872208995
59,Sample_1,3.8,"4,5",-2,0.7664278081700244
60,Sample_1,2.35,"4,5",-3,0.3719562056379231
61,Sample_1,1.8,"4,5",-1,0.827525361288893
62,Sample_1,3.55,"4,5",-2,0.7259024468620656
63,Sample_1,3.05,"4,5",-2,0.7657955738404418
64,Sample_1,3.65,"4,5",-2,0.7118170969574242
65,Sample_1,3.85,"4,5",-1,0.5384357845716768
66,Sample_1,4.3,"4,5",-1,0.6524141520132872
67,Sample_1,2.65,"4,5",-1,0.8039777515122812
68,Sample_1,3.8,"4,5",-3,0.5497880644930027
69,Sample_1,1.6,"4,5",-1,0.8266285686797313
70,Sample_1,0.25,"4,5",-2,0.2941532154900952
71,Sample_1,3.7,"4,5",-3,0.5557514366036803
72,Sample_1,3.75,"4,5",-1,0.6932838144377232
73,Sample_1,0.2,"4,5",-1,0.7776175827732534
74,Sample_1,4.55,"4,5",-3,0.7141900879781513
75,Sample_1,1.95,"4,5",-3,0.416776852763491
76,Sample_1,3.55,"4,5",-3,0.8055911739143119
77,Sample_1,1.65,"4,5",-3,0.30057969964956754
78,Sample_1,4.35,"4,5",-1,0.6862444927273891
79,Sample_1,4.4,"4,5",-1,0.5259525064093287
80,Sample_1,2.4,"4,5",-2,0.7241392692137311
81,Sample_1,2.1,"4,5",-3,0.8115681406064539
82,Sample_1,2.6,"4,5",-3,0.4436790695860372
83,Sample_1,4.9,"4,5",-1,0.7215610245140117
84,Sample_1,2.9,"4,5",-1,0.6414709782904792
85,Sample_1,1.85,"4,5",-3,0.3590525465461256
86,Sample_1,3.35,"4,5",-1,0.7486194529727235
87,Sample_1,5.0,"4,5",-2,0.7667517184778074
88,Sample_1,2.45,"4,5",-2,0.7403513463246367
89,Sample_1,0.65,"4,5",-2,0.447166874051773
90,Sample_1,0.3,"4,5",-3,0.7461588544528666
91,Sample_1,1.1,"4,5",-2,0.630725803667217
92,Sample_1,1.0,"4,5",-1,0.8033422289167966
93,Sample_1,3.85,"4,5",-2,0.7759328755420174
94,Sample_1,4.65,"4,5",-3,0.7213194578723504
95,Sample_1,0.6,"4,5",-3,0.78557895465203
96,Sample_1,3.0,"4,5",-1,0.6023978873715845
97,Sample_1,0.4,"4,5",-2,0.7680037658139176
98,Sample_1,4.8,"4,5",-3,0.5101360167156712
99,Sample_1,0.9,"4,5",-3,0.28330270577167554
